r
0
1
2
3
4
5
6
7
8
9
48
53
54
57
60
67
68
70
71
72
73
74
75
76
77
78
79
80
81
82
83
84
85
86
87
88
89
90
91
92
93
94
97
98
104
108
131
132
133
134
135
136
137
138
139
140
141
142
143
144
145
146
147
148
167
168
169
176
177
178
179
180
181
182
183
184
185
186
187
188
189
190
191
192
193
194
195
196
200
201
202
203
204
205
206
207
208
209
210
211
212
213
214
215
219
220
225
227
229
230
231
245
246
247
248
249
250
251
252
255
257
258
259
267
272
273
275
276
277
278
