t1,t2,s1,s2,n1,n2
0,4.0,29,49.0,29,325.0
4.0,8.0,49.0,8.0,325.0,560.0
8.0,11.0,8.0,30.0,560.0,789.0
11.0,14.0,30.0,8.0,789.0,974.0
14.0,17.0,8.0,30.0,974.0,1203.0
17.0,18.0,30.0,30.0,1203.0,1272.0
18.0,19.0,30.0,7.0,1272.0,1318.0
19.0,22.0,7.0,1.0,1318.0,1519.0
22.0,27.0,1.0,39.0,1519.0,1902.0
27.0,28.0,39.0,39.0,1902.0,1971.0
28.0,29.0,39.0,39.0,1971.0,2040.0
29.0,30.0,39.0,39.0,2040.0,2109.0
30.0,34.0,39.0,38.0,2109.0,2384.0
34.0,39.0,38.0,41.0,2384.0,2732.0
39.0,44.0,41.0,65.0,2732.0,3101.0
44.0,49.0,65.0,41.0,3101.0,3422.0
49.0,54.0,41.0,40.0,3422.0,3766.0
54.0,55.0,40.0,40.0,3766.0,3835.0
55.0,58.0,40.0,0.0,3835.0,4002.0
58.0,61.0,0.0,40.0,4002.0,4249.0
61.0,64.0,40.0,0.0,4249.0,4416.0
64.0,71.0,0.0,53.0,4416.0,4952.0
71.0,72.0,53.0,53.0,4952.0,5021.0
72.0,73.0,53.0,53.0,5021.0,5090.0
73.0,74.0,53.0,53.0,5090.0,5159.0
74.0,78.0,53.0,29.0,5159.0,5411.0
78.0,82.0,29.0,49.0,5411.0,5707.0
82.0,86.0,49.0,8.0,5707.0,5942.0
86.0,89.0,8.0,30.0,5942.0,6171.0
89.0,92.0,30.0,8.0,6171.0,6356.0
92.0,95.0,8.0,30.0,6356.0,6585.0
95.0,96.0,30.0,30.0,6585.0,6654.0
96.0,97.0,30.0,7.0,6654.0,6700.0
97.0,100.0,7.0,1.0,6700.0,6901.0
100.0,105.0,1.0,39.0,6901.0,7284.0
105.0,106.0,39.0,39.0,7284.0,7353.0
106.0,107.0,39.0,39.0,7353.0,7422.0
107.0,108.0,39.0,39.0,7422.0,7491.0
108.0,112.0,39.0,38.0,7491.0,7766.0
112.0,117.0,38.0,41.0,7766.0,8114.0
117.0,122.0,41.0,65.0,8114.0,8483.0
122.0,127.0,65.0,41.0,8483.0,8804.0
127.0,132.0,41.0,40.0,8804.0,9148.0
132.0,133.0,40.0,40.0,9148.0,9217.0
133.0,136.0,40.0,0.0,9217.0,9384.0
136.0,139.0,0.0,40.0,9384.0,9631.0
139.0,142.0,40.0,0.0,9631.0,9798.0
142.0,149.0,0.0,53.0,9798.0,10334.0
149.0,150.0,53.0,53.0,10334.0,10403.0
150.0,151.0,53.0,53.0,10403.0,10472.0
151.0,152.0,53.0,53.0,10472.0,10541.0
152.0,156.0,53.0,29.0,10541.0,10793.0
