t1,t2,s1,s2,n1,n2
0,4.0,43,40.0,43,316.0
4.0,5.0,40.0,40.0,316.0,385.0
5.0,6.0,40.0,40.0,385.0,454.0
6.0,9.0,40.0,0.0,454.0,621.0
9.0,14.0,0.0,29.0,621.0,995.0
14.0,19.0,29.0,52.0,995.0,1363.0
19.0,23.0,52.0,50.0,1363.0,1637.0
23.0,27.0,50.0,52.0,1637.0,1915.0
27.0,31.0,52.0,50.0,1915.0,2189.0
31.0,33.0,50.0,6.0,2189.0,2283.0
33.0,34.0,6.0,6.0,2283.0,2352.0
34.0,35.0,6.0,6.0,2352.0,2421.0
35.0,38.0,6.0,64.0,2421.0,2686.0
38.0,42.0,64.0,62.0,2686.0,2960.0
42.0,43.0,62.0,62.0,2960.0,3029.0
43.0,44.0,62.0,62.0,3029.0,3098.0
44.0,45.0,62.0,62.0,3098.0,3167.0
45.0,46.0,62.0,62.0,3167.0,3236.0
46.0,50.0,62.0,13.0,3236.0,3463.0
50.0,59.0,13.0,18.0,3463.0,4089.0
59.0,66.0,18.0,17.0,4089.0,4571.0
66.0,73.0,17.0,18.0,4571.0,5055.0
73.0,82.0,18.0,13.0,5055.0,5671.0
82.0,83.0,13.0,13.0,5671.0,5740.0
83.0,84.0,13.0,13.0,5740.0,5809.0
84.0,88.0,13.0,62.0,5809.0,6134.0
88.0,89.0,62.0,62.0,6134.0,6203.0
89.0,90.0,62.0,62.0,6203.0,6272.0
90.0,91.0,62.0,62.0,6272.0,6341.0
91.0,92.0,62.0,62.0,6341.0,6410.0
92.0,96.0,62.0,64.0,6410.0,6688.0
96.0,99.0,64.0,6.0,6688.0,6837.0
99.0,100.0,6.0,6.0,6837.0,6906.0
100.0,101.0,6.0,6.0,6906.0,6975.0
101.0,102.0,6.0,6.0,6975.0,7044.0
102.0,104.0,6.0,50.0,7044.0,7226.0
104.0,108.0,50.0,52.0,7226.0,7504.0
108.0,112.0,52.0,50.0,7504.0,7778.0
112.0,116.0,50.0,52.0,7778.0,8056.0
116.0,121.0,52.0,29.0,8056.0,8378.0
121.0,126.0,29.0,0.0,8378.0,8694.0
126.0,129.0,0.0,40.0,8694.0,8941.0
129.0,130.0,40.0,40.0,8941.0,9010.0
130.0,134.0,40.0,43.0,9010.0,9289.0
