r,d,t1,t2,s1,s2,n1,n2
0,1,3,8,1,39,208,591
1,1,3,8,1,39,208,591
2,1,3,8,1,39,208,591
3,1,3,8,1,39,208,591
4,1,3,8,1,39,208,591
5,1,3,8,1,39,208,591
6,1,3,8,1,39,208,591
7,0,17,22,1,39,1174,1557
8,0,17,22,1,39,1174,1557
9,1,3,8,1,39,208,591
48,2,27,31,52,50,1915,2189
48,2,31,33,50,6,2189,2283
48,2,33,34,6,6,2283,2352
48,2,34,35,6,6,2352,2421
48,2,35,38,6,64,2421,2686
48,2,38,42,64,62,2686,2960
53,2,27,31,52,50,1915,2189
53,2,31,33,50,6,2189,2283
53,2,33,34,6,6,2283,2352
53,2,34,35,6,6,2352,2421
53,2,35,38,6,64,2421,2686
53,2,38,42,64,62,2686,2960
54,2,27,31,52,50,1915,2189
54,2,31,33,50,6,2189,2283
54,2,33,34,6,6,2283,2352
54,2,34,35,6,6,2352,2421
54,2,35,38,6,64,2421,2686
54,2,38,42,64,62,2686,2960
57,2,27,31,52,50,1915,2189
57,2,31,33,50,6,2189,2283
57,5,33,34,6,6,2283,2352
57,5,34,35,6,6,2352,2421
57,2,35,38,6,64,2421,2686
57,2,38,42,64,62,2686,2960
60,2,27,31,52,50,1915,2189
60,2,31,33,50,6,2189,2283
60,2,33,34,6,6,2283,2352
60,2,34,35,6,6,2352,2421
60,2,35,38,6,64,2421,2686
60,2,38,42,64,62,2686,2960
67,2,27,31,52,50,1915,2189
67,2,31,33,50,6,2189,2283
67,2,33,34,6,6,2283,2352
67,5,34,35,6,6,2352,2421
67,2,35,38,6,64,2421,2686
67,2,38,42,64,62,2686,2960
68,2,27,31,52,50,1915,2189
68,2,31,33,50,6,2189,2283
68,2,33,34,6,6,2283,2352
68,2,34,35,6,6,2352,2421
68,2,35,38,6,64,2421,2686
68,2,38,42,64,62,2686,2960
70,4,34,38,64,62,2410,2684
71,4,34,38,64,62,2410,2684
72,4,34,38,64,62,2410,2684
73,4,34,38,64,62,2410,2684
74,2,38,42,64,62,2686,2960
75,2,38,42,64,62,2686,2960
76,4,34,38,64,62,2410,2684
77,2,38,42,64,62,2686,2960
78,2,38,42,64,62,2686,2960
79,2,38,42,64,62,2686,2960
80,2,38,42,64,62,2686,2960
81,2,38,42,64,62,2686,2960
82,4,34,38,64,62,2410,2684
83,2,9,14,0,29,621,995
83,2,14,19,29,52,995,1363
83,5,19,20,52,52,1363,1432
83,5,20,21,52,52,1432,1501
83,5,21,22,52,52,1501,1570
83,5,22,23,52,52,1570,1639
83,5,23,24,52,52,1639,1708
83,4,24,28,52,50,1708,1982
83,4,28,30,50,6,1982,2076
83,5,30,31,6,6,2076,2145
83,4,31,34,6,64,2145,2410
83,4,34,38,64,62,2410,2684
84,2,9,14,0,29,621,995
84,2,14,19,29,52,995,1363
84,2,19,23,52,50,1363,1637
84,5,23,24,50,50,1637,1706
84,5,24,25,50,50,1706,1775
84,5,25,26,50,50,1775,1844
84,5,26,27,50,50,1844,1913
84,5,27,28,50,50,1913,1982
84,5,28,29,50,50,1982,2051
84,5,29,30,50,50,2051,2120
84,5,30,31,50,50,2120,2189
84,2,31,33,50,6,2189,2283
84,5,33,34,6,6,2283,2352
84,5,34,35,6,6,2352,2421
84,2,35,38,6,64,2421,2686
84,2,38,42,64,62,2686,2960
85,2,9,14,0,29,621,995
85,2,14,19,29,52,995,1363
85,5,19,20,52,52,1363,1432
85,5,20,21,52,52,1432,1501
85,5,21,22,52,52,1501,1570
85,5,22,23,52,52,1570,1639
85,5,23,24,52,52,1639,1708
85,4,24,28,52,50,1708,1982
85,4,28,30,50,6,1982,2076
85,5,30,31,6,6,2076,2145
85,4,31,34,6,64,2145,2410
85,4,34,38,64,62,2410,2684
86,2,9,14,0,29,621,995
86,2,14,19,29,52,995,1363
86,5,19,20,52,52,1363,1432
86,5,20,21,52,52,1432,1501
86,5,21,22,52,52,1501,1570
86,5,22,23,52,52,1570,1639
86,5,23,24,52,52,1639,1708
86,4,24,28,52,50,1708,1982
86,4,28,30,50,6,1982,2076
86,5,30,31,6,6,2076,2145
86,4,31,34,6,64,2145,2410
86,4,34,38,64,62,2410,2684
87,2,9,14,0,29,621,995
87,2,14,19,29,52,995,1363
87,5,19,20,52,52,1363,1432
87,5,20,21,52,52,1432,1501
87,5,21,22,52,52,1501,1570
87,5,22,23,52,52,1570,1639
87,5,23,24,52,52,1639,1708
87,4,24,28,52,50,1708,1982
87,4,28,30,50,6,1982,2076
87,5,30,31,6,6,2076,2145
87,4,31,34,6,64,2145,2410
87,4,34,38,64,62,2410,2684
88,2,9,14,0,29,621,995
88,2,14,19,29,52,995,1363
88,5,19,20,52,52,1363,1432
88,5,20,21,52,52,1432,1501
88,5,21,22,52,52,1501,1570
88,5,22,23,52,52,1570,1639
88,5,23,24,52,52,1639,1708
88,4,24,28,52,50,1708,1982
88,5,28,29,50,50,1982,2051
88,5,29,30,50,50,2051,2120
88,5,30,31,50,50,2120,2189
88,2,31,33,50,6,2189,2283
88,5,33,34,6,6,2283,2352
88,5,34,35,6,6,2352,2421
88,2,35,38,6,64,2421,2686
88,2,38,42,64,62,2686,2960
89,4,11,16,29,52,788,1156
90,4,11,16,29,52,788,1156
91,4,11,16,29,52,788,1156
92,4,11,16,29,52,788,1156
93,4,11,16,29,52,788,1156
94,4,11,16,29,52,788,1156
97,2,14,19,29,52,995,1363
97,2,19,23,52,50,1363,1637
97,5,23,24,50,50,1637,1706
97,5,24,25,50,50,1706,1775
97,5,25,26,50,50,1775,1844
97,5,26,27,50,50,1844,1913
97,5,27,28,50,50,1913,1982
97,4,28,30,50,6,1982,2076
97,5,30,31,6,6,2076,2145
97,4,31,34,6,64,2145,2410
97,4,34,38,64,62,2410,2684
98,2,14,19,29,52,995,1363
98,2,19,23,52,50,1363,1637
98,5,23,24,50,50,1637,1706
98,5,24,25,50,50,1706,1775
98,5,25,26,50,50,1775,1844
98,5,26,27,50,50,1844,1913
98,5,27,28,50,50,1913,1982
98,4,28,30,50,6,1982,2076
98,5,30,31,6,6,2076,2145
98,4,31,34,6,64,2145,2410
98,4,34,38,64,62,2410,2684
104,2,14,19,29,52,995,1363
104,2,19,23,52,50,1363,1637
104,5,23,24,50,50,1637,1706
104,5,24,25,50,50,1706,1775
104,5,25,26,50,50,1775,1844
104,5,26,27,50,50,1844,1913
104,5,27,28,50,50,1913,1982
104,4,28,30,50,6,1982,2076
104,5,30,31,6,6,2076,2145
104,4,31,34,6,64,2145,2410
104,4,34,38,64,62,2410,2684
108,2,14,19,29,52,995,1363
108,5,19,20,52,52,1363,1432
108,5,20,21,52,52,1432,1501
108,5,21,22,52,52,1501,1570
108,5,22,23,52,52,1570,1639
108,5,23,24,52,52,1639,1708
108,4,24,28,52,50,1708,1982
108,4,28,30,50,6,1982,2076
108,5,30,31,6,6,2076,2145
108,4,31,34,6,64,2145,2410
108,4,34,38,64,62,2410,2684
131,2,14,19,29,52,995,1363
131,5,19,20,52,52,1363,1432
131,5,20,21,52,52,1432,1501
131,5,21,22,52,52,1501,1570
131,5,22,23,52,52,1570,1639
131,5,23,24,52,52,1639,1708
131,4,24,28,52,50,1708,1982
131,4,28,30,50,6,1982,2076
131,5,30,31,6,6,2076,2145
131,4,31,34,6,64,2145,2410
132,2,14,19,29,52,995,1363
132,5,19,20,52,52,1363,1432
132,5,20,21,52,52,1432,1501
132,5,21,22,52,52,1501,1570
132,5,22,23,52,52,1570,1639
132,5,23,24,52,52,1639,1708
132,4,24,28,52,50,1708,1982
132,4,28,30,50,6,1982,2076
132,5,30,31,6,6,2076,2145
132,4,31,34,6,64,2145,2410
133,2,14,19,29,52,995,1363
133,5,19,20,52,52,1363,1432
133,5,20,21,52,52,1432,1501
133,5,21,22,52,52,1501,1570
133,5,22,23,52,52,1570,1639
133,5,23,24,52,52,1639,1708
133,4,24,28,52,50,1708,1982
133,4,28,30,50,6,1982,2076
133,5,30,31,6,6,2076,2145
133,4,31,34,6,64,2145,2410
134,2,14,19,29,52,995,1363
134,5,19,20,52,52,1363,1432
134,5,20,21,52,52,1432,1501
134,5,21,22,52,52,1501,1570
134,5,22,23,52,52,1570,1639
134,5,23,24,52,52,1639,1708
134,4,24,28,52,50,1708,1982
134,4,28,30,50,6,1982,2076
134,5,30,31,6,6,2076,2145
134,4,31,34,6,64,2145,2410
135,2,14,19,29,52,995,1363
135,5,19,20,52,52,1363,1432
135,5,20,21,52,52,1432,1501
135,5,21,22,52,52,1501,1570
135,5,22,23,52,52,1570,1639
135,5,23,24,52,52,1639,1708
135,4,24,28,52,50,1708,1982
135,4,28,30,50,6,1982,2076
135,5,30,31,6,6,2076,2145
135,4,31,34,6,64,2145,2410
136,4,82,85,63,62,5721,5927
137,4,82,85,63,62,5721,5927
138,4,82,85,63,62,5721,5927
139,4,82,85,63,62,5721,5927
140,4,82,85,63,62,5721,5927
141,4,82,85,63,62,5721,5927
142,4,82,85,63,62,5721,5927
143,4,82,85,63,62,5721,5927
144,4,82,85,63,62,5721,5927
145,4,82,85,63,62,5721,5927
146,4,82,85,63,62,5721,5927
147,4,82,85,63,62,5721,5927
148,4,82,85,63,62,5721,5927
167,1,18,22,8,49,1250,1567
167,1,22,26,49,29,1567,1823
168,1,18,22,8,49,1250,1567
168,1,22,26,49,29,1567,1823
169,1,18,22,8,49,1250,1567
169,1,22,26,49,29,1567,1823
176,4,3,7,8,49,215,532
176,4,7,11,49,29,532,788
176,4,11,16,29,52,788,1156
177,0,0,4,29,8,29,284
177,0,4,7,8,30,284,513
177,5,7,8,30,30,513,582
177,5,8,9,30,30,582,651
177,5,9,10,30,30,651,720
177,5,10,11,30,30,720,789
177,5,11,12,30,30,789,858
177,5,12,13,30,30,858,927
177,0,13,14,30,7,927,973
177,0,14,17,7,1,973,1174
177,0,17,22,1,39,1174,1557
178,0,0,4,29,8,29,284
