r
5
6
15
21
30
31
33
34
35
36
38
42
43
44
45
46
47
48
49
50
51
101
104
105
106
107
108
109
110
111
112
113
114
115
116
117
118
119
120
121
122
124
128
129
137
151
152
153
154
155
156
157
158
159
160
161
171
172
174
175
208
209
210
211
212
213
215
222
223
224
225
226
227
228
229
238
239
240
594
612
613
614
623
629
630
631
632
633
634
638
639
640
642
671
672
673
674
688
689
705
717
735
736
737
738
739
740
741
