t1,t2,s1,s2,n1,n2
0.0,3.0,1,4,1.0,211.0
3.0,5.0,4,7,211.0,352.0
5.0,6.0,7,30,352.0,444.0
6.0,8.0,30,31,444.0,583.0
8.0,10.0,31,8,583.0,698.0
10.0,14.0,8,29,698.0,995.0
14.0,18.0,29,49,995.0,1291.0
18.0,21.0,49,65,1291.0,1514.0
21.0,24.0,65,38,1514.0,1694.0
24.0,27.0,38,3,1694.0,1866.0
27.0,32.0,3,45,1866.0,2253.0
32.0,38.0,45,39,2253.0,2661.0
38.0,43.0,39,1,2661.0,2968.0
43.0,46.0,1,4,2968.0,3178.0
46.0,48.0,4,7,3178.0,3319.0
48.0,49.0,7,30,3319.0,3411.0
49.0,51.0,30,31,3411.0,3550.0
51.0,53.0,31,8,3550.0,3665.0
53.0,57.0,8,29,3665.0,3962.0
57.0,61.0,29,49,3962.0,4258.0
61.0,64.0,49,65,4258.0,4481.0
64.0,67.0,65,38,4481.0,4661.0
67.0,70.0,38,3,4661.0,4833.0
70.0,75.0,3,45,4833.0,5220.0
75.0,81.0,45,39,5220.0,5628.0
81.0,86.0,39,1,5628.0,5935.0
86.0,89.0,1,4,5935.0,6145.0
89.0,91.0,4,7,6145.0,6286.0
91.0,92.0,7,30,6286.0,6378.0
92.0,94.0,30,31,6378.0,6517.0
94.0,96.0,31,8,6517.0,6632.0
96.0,100.0,8,29,6632.0,6929.0
100.0,104.0,29,49,6929.0,7225.0
104.0,107.0,49,65,7225.0,7448.0
107.0,110.0,65,38,7448.0,7628.0
110.0,113.0,38,3,7628.0,7800.0
113.0,118.0,3,45,7800.0,8187.0
118.0,124.0,45,39,8187.0,8595.0
124.0,129.0,39,1,8595.0,8902.0
129.0,132.0,1,4,8902.0,9112.0
132.0,134.0,4,7,9112.0,9253.0
134.0,135.0,7,30,9253.0,9345.0
135.0,137.0,30,31,9345.0,9484.0
137.0,139.0,31,8,9484.0,9599.0
139.0,143.0,8,29,9599.0,9896.0
143.0,147.0,29,49,9896.0,10192.0
147.0,150.0,49,65,10192.0,10415.0
150.0,153.0,65,38,10415.0,10595.0
153.0,156.0,38,3,10595.0,10767.0
156.0,161.0,3,45,10767.0,11154.0
161.0,167.0,45,39,11154.0,11562.0
167.0,172.0,39,1,11562.0,11869.0
