t1,t2,s1,s2,n1,n2
0,7.0,20,4.0,20,277.0
7,11.0,4,1.0,277,430.0
11,16.0,1,24.0,430,648.0
16,22.0,24,28.0,648,886.0
22,28.0,28,24.0,886,1116.0
28,32.0,24,23.0,1116,1271.0
32,36.0,23,6.0,1271,1410.0
36,40.0,6,20.0,1410,1580.0
40,47.0,20,4.0,1580,1837.0
47,51.0,4,1.0,1837,1990.0
51,56.0,1,24.0,1990,2208.0
56,62.0,24,28.0,2208,2446.0
62,68.0,28,24.0,2446,2676.0
68,72.0,24,23.0,2676,2831.0
72,76.0,23,6.0,2831,2970.0
76,80.0,6,20.0,2970,3140.0
80,87.0,20,4.0,3140,3397.0
87,91.0,4,1.0,3397,3550.0
91,96.0,1,24.0,3550,3768.0
96,102.0,24,28.0,3768,4006.0
102,108.0,28,24.0,4006,4236.0
108,112.0,24,23.0,4236,4391.0
112,116.0,23,6.0,4391,4530.0
116,120.0,6,20.0,4530,4700.0
120,127.0,20,4.0,4700,4957.0
127,131.0,4,1.0,4957,5110.0
131,136.0,1,24.0,5110,5328.0
136,142.0,24,28.0,5328,5566.0
142,148.0,28,24.0,5566,5796.0
148,152.0,24,23.0,5796,5951.0
152,156.0,23,6.0,5951,6090.0
156,160.0,6,20.0,6090,6260.0
