t1,t2,s1,s2,n1,n2
0.0,3.0,1,34,1.0,241.0
3.0,5.0,34,35,241.0,380.0
5.0,9.0,35,64,380.0,685.0
9.0,12.0,64,6,685.0,834.0
12.0,16.0,6,36,834.0,1140.0
16.0,20.0,36,50,1140.0,1430.0
20.0,23.0,50,29,1430.0,1616.0
23.0,27.0,29,32,1616.0,1895.0
27.0,29.0,32,33,1895.0,2034.0
29.0,32.0,33,31,2034.0,2239.0
32.0,34.0,31,4,2239.0,2350.0
34.0,36.0,4,7,2350.0,2491.0
36.0,37.0,7,30,2491.0,2583.0
37.0,40.0,30,38,2583.0,2798.0
40.0,43.0,38,10,2798.0,2977.0
43.0,48.0,10,39,2977.0,3351.0
48.0,53.0,39,1,3351.0,3658.0
53.0,56.0,1,34,3658.0,3898.0
56.0,58.0,34,35,3898.0,4037.0
58.0,62.0,35,64,4037.0,4342.0
62.0,65.0,64,6,4342.0,4491.0
65.0,69.0,6,36,4491.0,4797.0
69.0,73.0,36,50,4797.0,5087.0
73.0,76.0,50,29,5087.0,5273.0
76.0,80.0,29,32,5273.0,5552.0
80.0,82.0,32,33,5552.0,5691.0
82.0,85.0,33,31,5691.0,5896.0
85.0,87.0,31,4,5896.0,6007.0
87.0,89.0,4,7,6007.0,6148.0
89.0,90.0,7,30,6148.0,6240.0
90.0,93.0,30,38,6240.0,6455.0
93.0,96.0,38,10,6455.0,6634.0
96.0,101.0,10,39,6634.0,7008.0
101.0,106.0,39,1,7008.0,7315.0
106.0,109.0,1,34,7315.0,7555.0
109.0,111.0,34,35,7555.0,7694.0
111.0,115.0,35,64,7694.0,7999.0
115.0,118.0,64,6,7999.0,8148.0
118.0,122.0,6,36,8148.0,8454.0
122.0,126.0,36,50,8454.0,8744.0
126.0,129.0,50,29,8744.0,8930.0
129.0,133.0,29,32,8930.0,9209.0
133.0,135.0,32,33,9209.0,9348.0
135.0,138.0,33,31,9348.0,9553.0
138.0,140.0,31,4,9553.0,9664.0
140.0,142.0,4,7,9664.0,9805.0
142.0,143.0,7,30,9805.0,9897.0
143.0,146.0,30,38,9897.0,10112.0
146.0,149.0,38,10,10112.0,10291.0
149.0,154.0,10,39,10291.0,10665.0
154.0,159.0,39,1,10665.0,10972.0
