t1,t2,s1,s2,n1,n2
0,6.0,20,21.0,20,255.0
6,9.0,21,1.0,255,352.0
9,14.0,1,24.0,352,570.0
14,20.0,24,28.0,570,808.0
20,25.0,28,3.0,808,978.0
25,27.0,3,26.0,978,1079.0
27,29.0,26,3.0,1079,1134.0
29,32.0,3,23.0,1134,1271.0
32,36.0,23,6.0,1271,1410.0
36,40.0,6,20.0,1410,1580.0
40,46.0,20,21.0,1580,1815.0
46,49.0,21,1.0,1815,1912.0
49,54.0,1,24.0,1912,2130.0
54,60.0,24,28.0,2130,2368.0
60,65.0,28,3.0,2368,2538.0
65,67.0,3,26.0,2538,2639.0
67,69.0,26,3.0,2639,2694.0
69,72.0,3,23.0,2694,2831.0
72,76.0,23,6.0,2831,2970.0
76,80.0,6,20.0,2970,3140.0
80,86.0,20,21.0,3140,3375.0
86,89.0,21,1.0,3375,3472.0
89,94.0,1,24.0,3472,3690.0
94,100.0,24,28.0,3690,3928.0
100,105.0,28,3.0,3928,4098.0
105,107.0,3,26.0,4098,4199.0
107,109.0,26,3.0,4199,4254.0
109,112.0,3,23.0,4254,4391.0
112,116.0,23,6.0,4391,4530.0
116,120.0,6,20.0,4530,4700.0
120,126.0,20,21.0,4700,4935.0
126,129.0,21,1.0,4935,5032.0
129,134.0,1,24.0,5032,5250.0
134,140.0,24,28.0,5250,5488.0
140,145.0,28,3.0,5488,5658.0
145,147.0,3,26.0,5658,5759.0
147,149.0,26,3.0,5759,5814.0
149,152.0,3,23.0,5814,5951.0
152,156.0,23,6.0,5951,6090.0
156,160.0,6,20.0,6090,6260.0
