zone_id,trips_pk_in,trips_pk_out,trips_op_in,trips_op_out,trips_day_in,trips_day_out,transit_trips_pk_in,transit_trips_pk_out,transit_trips_op_in,transit_trips_op_out,transit_trips_day_in,transit_trips_day_out
0,382.9596038,675.9022631999999,273.661332,1117.1165397,656.6209358000001,1793.0188028999999,4.370982448371732,17.269343745951243,18.88093732057503,125.34628491772598,23.251919768946763,142.61562866367723
1,1346.9101282,617.301099,2147.6423882999998,927.6466892000001,3494.5525165,1544.9477882,51.18745794660384,12.18289219537871,247.23459643911823,87.49358442582437,298.42205438572205,99.67647662120308
2,0.0,928.9555392,481.78016019999995,625.4867200000001,481.78016019999995,1554.4422592,0.0,20.821753354663393,37.07827387329349,56.43420990410289,37.07827387329349,77.25596325876629
3,357.4626038,268.0776961,509.55497460000004,461.22483890000007,867.0175784,729.302535,3.4999135287757825,2.0609139231616282,34.72522576874343,28.727921437062378,38.22513929751921,30.788835360224006
4,75.86376899999999,456.3513329,45.6025536,1150.5956643,121.46632259999998,1606.9469972,3.238147573168064,11.476471221891371,5.931974231346643,102.47607698772055,9.170121804514707,113.95254820961192
5,129.8992962,285.8248195,0.0,60.981106200000006,129.8992962,346.8059257,22.995290018908914,18.429145775678997,0.0,9.427594872419498,22.995290018908914,27.856740648098494
6,115.1842028,166.25536590000002,66.7180989,84.047962,181.9023017,250.3033279,1.9261937692110556,20.220412599981863,7.804413741134886,16.344479949084825,9.730607510345942,36.564892549066684
7,177.2177517,484.9383522,723.9275827,312.63165590000006,901.1453344,797.5700081,1.5459005353457504,14.355891571463845,49.25848181265572,24.358163702319782,50.80438234800147,38.71405527378363
8,818.3475863,391.69630480000006,1376.1697407000001,825.2594661,2194.517327,1216.9557709,12.16957214222916,6.329947130491796,108.24028001532416,75.94202233507528,120.40985215755332,82.27196946556708
9,0.0,144.6976071,0.0,93.27835329999999,0.0,237.9759604,0.0,20.43773151231933,0.0,25.078748631132317,0.0,45.516480143451645
10,63.0861625,521.7237117,32.1033842,526.9206889,95.1895467,1048.6444006,1.1078817613735892,9.483874276456827,4.320911154227044,51.51976490923958,5.428792915600633,61.003639185696414
11,0.0,0.0,57.8723171,0.0,57.8723171,0.0,0.0,0.0,20.16164191581531,0.0,20.16164191581531,0.0
12,32.5838428,46.288556,375.0735655,44.0772765,407.6574083,90.36583250000001,0.7509688271535366,8.480630746921777,46.311213855399,5.210339833995151,47.06218268255253,13.690970580916929
13,266.0492124,562.3989009000001,254.16147369999996,192.63658600000002,520.2106861,755.0354869,9.154181516707109,13.527383547201627,36.12384501791654,27.398668552156387,45.27802653462365,40.92605209935802
14,0.0,0.0,0.0,71.8878368,0.0,71.8878368,0.0,0.0,0.0,12.492701006618518,0.0,12.492701006618518
15,108.94627349999999,806.8537198999998,343.5105406,1307.9923403,452.4568141,2114.8460601999996,0.8375515576236882,27.07117771588507,39.57953950181567,134.23795388833125,40.41709105943936,161.3091316042163
16,808.7086893000001,849.1096820000001,937.8245651999999,1300.1268590000002,1746.5332545,2149.236541,28.710495550112107,22.21890658558457,116.79552851969044,120.7003208424876,145.50602406980255,142.91922742807216
17,1344.4835045,123.92943659999999,2528.777551,494.7523396,3873.2610555,618.6817762000001,33.57354321728784,1.0628792571029881,254.4056051176567,37.9980436359811,287.97914833494457,39.06092289308408
18,1063.1744860000001,384.6857496,1134.1701675,919.8172069,2197.3446535000003,1304.5029565,96.53421614274197,6.589277268734191,165.18288380124858,88.9663117637948,261.71709994399055,95.555589032529
19,1018.0047068,1062.1187301,1558.8911514999998,2049.0879293999997,2576.8958583,3111.2066594999997,28.3059396561882,43.250538843419335,118.2460308947136,214.45327918135848,146.55197055090179,257.70381802477783
20,1997.6343524,1557.6255868,3481.5890332999998,2925.9920878,5479.223385699999,4483.6176746,43.370409200580056,66.60317340614317,339.0495996304294,278.6282114383121,382.42000883100945,345.2313848444553
21,1126.1479292,456.33091920000004,2182.5142356,1091.0607734,3308.6621648,1547.3916926000002,39.363755812802154,10.856245335529323,208.2174453197741,72.28603420886154,247.58120113257627,83.14227954439086
22,454.78144760000004,1643.0256699000001,1121.6264263,2242.6268217999996,1576.4078739000001,3885.6524916999997,6.204945399416769,63.25647959106147,110.51127875699784,270.62208618037533,116.71622415641461,333.8785657714368
23,0.0,107.5353166,141.9915107,54.182955799999995,141.9915107,161.7182724,0.0,6.08798313126628,22.16580187222395,9.366199347128356,22.16580187222395,15.454182478394635
24,1158.3117005999998,400.292515,519.1615312,313.1186331,1677.4732317999997,713.4111481,37.703366593878826,15.745530802577438,63.02110608788472,43.876265755680436,100.72447268176354,59.62179655825787
25,0.0,585.6082256,0.0,687.0015931,0.0,1272.6098187,0.0,53.03806761762494,0.0,104.18644936545338,0.0,157.22451698307833
26,106.9261954,752.3825009,222.5826859,1674.7553599,329.5088813,2427.1378608,1.8460499642637502,32.29304596246901,21.46999772321042,215.20791159823506,23.316047687474168,247.50095756070408
27,168.5782521,0.0,303.2342195,132.1085388,471.8124716,132.1085388,20.22782518060298,0.0,57.67028356767289,22.08815210674104,77.89810874827587,22.08815210674104
28,0.0,539.1883783,0.0,828.056381,0.0,1367.2447593,0.0,28.322134200204253,0.0,104.18953905212682,0.0,132.51167325233106
29,1331.1835889,592.8897658000001,2366.5321332999997,517.5869838000001,3697.7157221999996,1110.4767496000002,44.66557888978548,33.45499415120401,214.73672933971844,40.24731004208379,259.4023082295039,73.7023041932878
30,0.0,139.9654765,0.0,766.6635676,0.0,906.6290441,0.0,1.7963224293288564,0.0,59.007735611139296,0.0,60.80405804046815
