zone_id_o,zone_id_d,trips
0,1,48.43165406053021
0,6,7.804413741134886
0,8,12.653915460379892
0,24,11.511475536613215
0,29,8.020846874834241
0,38,10.413826877356428
0,50,14.239361731125712
0,53,5.067451738923623
0,65,7.203338896827778
1,1,11.714160683010219
1,8,7.236714689326633
1,20,3.7172680620971406
1,29,25.54208170296923
1,39,29.83154857188647
1,53,9.451810716534673
2,2,9.706280285845946
2,18,23.874296769315553
2,20,9.149228969780056
2,24,13.70440387916134
3,3,28.727921437062378
4,7,20.470642846201905
4,29,13.229910932156342
4,39,7.330013004118555
4,45,22.31416035607371
4,50,10.593384028587758
4,64,28.537965820582272
5,52,9.427594872419498
6,18,8.448437732977553
6,58,7.896042216107272
7,7,14.191630516967077
7,45,10.166533185352705
8,7,4.486307863205429
8,8,24.557187670817687
8,24,9.273463737647697
8,29,5.625336271491651
8,35,15.247283789580607
8,55,16.752443002332214
9,11,20.16164191581531
9,47,4.917106715317009
10,36,15.1559760619677
10,39,23.190484283312887
10,44,13.17330456395899
12,50,5.210339833995151
13,17,8.630477478520563
13,45,18.768191073635826
14,50,4.284368988343066
14,61,8.208332018275451
15,13,11.08891646124031
15,15,10.769773615611985
15,17,4.940002504358653
15,20,30.787348039321518
15,22,42.78453870540028
15,48,20.95901841183242
15,65,12.908356150566105
16,2,12.390547966017884
16,16,11.457023756043712
16,17,14.698853083555194
16,20,39.05317162076258
16,22,5.3453965408535
16,24,5.297644238365591
16,36,11.997650184158479
16,45,15.140963391042032
16,63,5.319070061688624
17,12,8.79443405374677
17,15,3.4357123027665573
17,16,7.5810265334716895
17,17,9.037396251930547
17,20,5.8380100383581865
17,22,3.311464455707352
18,17,32.9075167857901
18,19,22.239928676652983
18,20,18.183876596639653
18,21,7.0062731520450905
18,66,8.62871655266698
19,17,7.172309431464111
19,18,8.150056390739595
19,19,43.32607081102363
19,20,15.70323222037421
19,21,23.650402322794932
19,22,15.647553445567462
19,23,14.405611544776509
19,39,8.573519362868367
19,53,16.773748598427872
19,62,28.632740639020238
19,64,5.322328074479137
19,66,27.0957063398224
20,2,14.981445621429659
20,17,36.491994420649554
20,18,21.73741323569364
20,19,25.193474435637043
20,20,35.82365013336311
20,21,29.658560526338828
20,22,24.108041570341992
20,24,6.2314604500922
20,27,14.51396235971177
20,29,8.623517114541215
20,36,7.222791011315885
20,39,14.859763813128945
20,43,18.874660233228216
20,50,7.703310079989184
20,66,12.604166432850887
21,20,16.86065839805498
21,21,55.425375810806564
22,12,21.338219034282133
22,16,22.33386786626325
22,17,27.119258660525706
22,18,7.072626378015539
22,19,27.48655697139995
22,20,9.478926629276575
22,21,15.223446465549848
22,22,10.245491192647489
22,23,7.760190327447439
22,27,11.70247087831392
22,38,10.26322768917333
22,39,19.02998461755054
22,47,13.161821525122711
22,48,19.40614476180888
22,50,15.430728136402085
22,52,21.118681948368895
22,62,12.450443098227007
23,42,9.366199347128356
24,1,6.74819129415482
24,4,5.931974231346643
24,39,6.447320748123145
24,45,24.74877948205583
25,1,42.71494355999568
25,18,30.04000116539721
25,34,31.431504640060496
26,3,5.997304331681052
26,13,17.556355185264334
26,22,9.06879284647975
26,26,10.730904507886846
26,39,26.65971762969173
26,41,25.041162878145013
26,45,13.209108970402513
26,64,25.644197157871726
26,66,81.3003680908121
27,17,14.722244786119019
27,18,7.3659073206220205
28,20,104.18953905212682
29,29,16.800892770663094
29,39,11.53889047363404
29,52,11.907526797786657
30,7,10.109900586281311
30,8,14.658466059305411
30,29,15.342372512913082
30,39,13.471038482654444
30,65,5.425957969985052
31,29,7.878346790999457
31,31,11.719028501676412
32,1,12.351231277079375
32,24,17.00265824600467
32,27,8.478823153972991
32,29,22.297822708087093
32,39,11.366668932406819
32,62,12.368607457601078
32,64,22.78984236643188
32,65,91.58706455377552
33,1,16.54925167179312
33,8,28.545032067106455
33,32,5.107931346636971
33,34,5.976141192286827
33,39,11.1220803718082
33,41,12.868340681976141
34,12,8.254181308831203
34,29,10.770419158022039
34,39,32.23397563205259
34,45,16.616316060257518
34,66,6.023217117647713
35,36,11.296007939737443
35,39,7.590065843526733
35,63,9.04698584503223
35,64,14.111220616459228
36,17,11.455236527407438
36,29,7.694475814330049
36,52,6.341161958019878
36,53,10.448982747039095
37,17,10.915693005265917
37,37,3.4130776118629194
37,39,7.9251366440623485
37,51,13.55405980431161
37,52,9.843963292635054
37,59,8.919180926637612
39,1,32.83364826015475
39,8,7.462240162376927
39,16,14.202819039576461
39,39,17.465630508722562
39,43,8.73411953086443
40,0,18.88093732057503
40,39,9.199496144016328
40,40,5.387990271496595
41,39,25.535198851562306
42,39,12.120841969504639
42,43,7.553877585744381
43,8,13.126723906011156
43,29,30.02566129575534
44,42,5.8181001468318305
45,65,7.768800353981109
46,1,53.320873097773195
46,18,6.9857489331239675
46,20,10.446886346298589
47,16,8.972696863970725
47,21,15.445942965938142
47,62,79.6944392878179
48,39,14.266812088355259
48,45,60.009535167256146
50,29,11.458336887257488
51,32,8.549468679134087
51,39,8.95658183107068
51,44,8.557326617079351
51,66,10.283253454332172
52,21,53.50667674575118
52,53,8.961204220970725
53,16,23.86900796378272
53,18,8.814609441373445
53,29,9.858826353840909
53,36,13.48822122662429
53,43,5.316365565989085
53,50,28.0094955531986
53,53,17.621195435790998
53,54,11.965392754887702
53,66,15.311361495378835
55,15,25.374053583437124
56,52,13.000369897766669
56,64,12.720059470569291
57,12,7.924379458538889
57,13,7.478573371411897
57,32,10.682898206046307
57,51,13.213707129192256
57,57,2.745404040839648
60,20,10.626917355918746
60,26,10.739093215323575
60,27,10.703240189914608
60,54,9.07617206059866
60,66,15.593320728890738
62,17,66.36294217323184
62,21,8.300767330549524
62,62,17.199267800196107
63,1,5.342753444288769
63,10,4.320911154227044
63,39,3.417546096117222
64,1,11.958945062842691
64,29,17.8433407156849
64,39,7.1646282629244915
65,1,5.268944027495406
65,27,12.271786985759599
65,29,3.7245414361722937
65,52,7.135833820784913
66,16,10.609885542084498
66,17,9.951680008838087
66,20,29.19088616805719
66,39,7.250510512593842
66,66,12.25851051519273
67,18,42.69378643399006
67,66,12.599343116355735
67,67,33.15990537086746
68,16,17.76920095449737
