zone_id_o,zone_id_d,trips
0,1,596.7889263
0,3,89.3849077
0,6,66.7180989
0,8,392.49437539999997
0,24,66.3608706
0,29,195.9289755
0,38,108.5070632
0,50,128.6033133
0,53,60.81035970000001
0,65,87.4219123
1,1,371.62790920000003
1,8,219.61605580000003
1,20,27.6194344
1,29,258.5332216
1,39,517.5632259
1,45,53.302243299999994
1,53,96.685698
2,2,155.8336746
2,18,575.1629275
2,20,158.8359546
2,24,664.6097025
3,3,729.302535
4,7,387.4539782
4,29,206.37113190000002
4,39,86.9538297
4,45,313.8760677
4,50,120.6730242
4,62,164.71885650000002
4,64,326.90010900000004
5,29,66.3992564
5,52,280.4066693
6,18,50.331899799999995
6,43,79.2287343
6,57,87.0266316
6,58,33.7160622
7,7,311.3383279
7,45,486.2316802
8,7,57.0750527
8,8,601.5101198
8,10,63.0861625
8,24,63.0861625
8,29,74.7385048
8,35,220.09825750000005
8,45,64.2889597
8,55,73.07255140000001
9,11,57.8723171
9,19,77.0643406
9,27,35.4060362
9,29,32.2272303
9,47,35.4060362
10,29,47.3409641
10,36,120.7771028
10,39,647.6977916999999
10,44,232.828542
12,50,44.0772765
12,55,46.288556
13,1,40.1278818
13,17,495.26363380000004
13,24,118.3423943
13,45,101.30157700000001
14,50,35.4060362
14,61,36.4818006
15,13,274.5021637
15,15,281.8542617
15,17,128.9126123
15,20,650.3132559999999
15,22,385.5372548
15,27,101.63862759999999
15,39,108.9919577
15,48,101.4875003
15,65,81.60842609999999
16,2,147.1526256
16,16,569.0006513000001
16,17,198.7860745
16,20,527.4746280999999
16,22,97.0408374
16,24,94.395666
16,29,79.4362772
16,36,147.0179516
16,45,81.11438299999999
16,47,79.2287343
16,63,54.7424676
16,64,73.8462444
17,12,92.9166134
17,15,45.781503799999996
17,16,102.52517639999999
17,17,240.42134099999998
17,20,105.5035533
17,22,31.5335883
18,17,446.5018361
18,19,447.90470379999994
18,20,291.41721640000003
18,21,59.339600100000006
18,66,59.339600100000006
19,17,143.61037019999998
19,18,191.98896489999998
19,19,950.2346897
19,20,249.7514856
19,21,302.0332102
19,22,306.91952919999994
19,23,89.2792166
19,39,185.0743333
19,47,96.76255959999999
19,50,75.82763259999999
19,53,75.82763259999999
19,62,182.92938809999998
19,64,32.5838428
19,66,228.3838041
20,2,178.79386
20,17,540.5588501
20,18,268.1044652
20,19,416.79697639999995
20,20,882.0184734000001
20,21,789.6641909
20,22,311.3705494
20,24,204.54459099999997
20,27,85.11337459999999
20,29,49.6451872
20,36,96.4622086
20,39,143.4917857
20,43,316.7798086
20,45,45.9542789
20,50,47.9950044
20,66,106.3240702
21,20,361.3180559
21,21,1124.9080715
21,58,61.1655652
22,12,157.80096659999998
22,16,188.1879046
22,17,391.6786871
22,18,206.3818185
22,19,629.2102359
22,20,370.02302380000003
22,21,308.48150669999995
22,22,395.5389106
22,23,52.7122941
22,27,79.6997396
22,29,65.57348520000001
22,38,52.8935564
22,39,103.7181363
22,45,52.7122941
22,47,193.14403660000002
22,48,314.50074900000004
22,50,82.2750566
22,52,110.8250887
22,62,130.2950013
23,13,107.5353166
23,42,54.182955799999995
24,1,135.88980769999998
24,4,121.46632259999998
24,39,214.39736340000002
24,45,153.7314928
24,62,87.92616159999999
25,1,570.9630938999999
25,5,101.4063321
25,18,303.8582518
25,34,194.97580879999998
25,45,101.4063321
26,3,48.3301357
26,13,100.1865016
26,19,55.684911899999996
26,22,48.467204200000005
26,26,232.3051516
26,39,453.1694936
26,41,216.08604620000003
26,45,290.2239462
26,64,167.1958583
26,66,815.4886115
27,17,83.12305959999999
27,18,48.9854792
28,20,1079.3037691
28,24,287.9409902
29,29,555.0684927
29,39,108.5070632
29,52,342.9217183
29,58,103.97947540000001
30,7,145.2779756
30,8,204.8201214
30,29,179.7419638
30,38,50.580568799999995
30,39,255.40069019999999
30,65,70.8077243
31,29,167.43521679999998
31,31,333.40616639999996
32,1,190.5679459
32,24,121.4272601
32,27,35.4377591
32,29,366.49120959999993
32,39,121.4272601
32,62,208.7626486
32,64,263.2104744
32,65,1229.9945481999998
33,1,178.83564180000002
33,8,513.7257262
33,32,168.1418735
33,34,188.3924441
33,38,93.7250935
33,39,159.1479567
33,41,217.55876970000003
33,63,106.7591409
34,12,112.8625518
34,24,56.7655946
34,29,120.3830193
34,39,344.6342187
34,45,119.7542588
34,66,103.3105454
35,36,278.33094800000003
35,39,79.3793556
35,63,159.8449711
35,64,185.3718647
35,66,53.644490299999994
36,17,166.88043979999998
36,29,121.2091868
36,52,82.9962815
36,53,82.9962815
37,17,60.021204299999994
37,26,46.904991100000004
37,37,54.7967306
37,39,50.323792499999996
37,45,44.8538781
37,51,54.7967306
37,52,48.1231784
37,59,59.11156379999999
39,1,634.5280875000001
39,8,139.13926379999998
39,16,180.7173988
39,39,373.5470269
39,43,78.6910271
40,0,531.2026564
