zone_id_o,zone_id_d,trips
0,1,222.83294
0,3,89.3849077
0,8,255.1773523
0,29,108.5070632
1,1,183.5578504
1,8,147.1338058
1,29,31.1191673
1,39,171.0688649
1,45,53.302243299999994
1,53,31.1191673
2,18,374.2139304
2,20,49.64582670000001
2,24,505.0957821
3,3,268.0776961
4,7,93.7250935
4,29,57.4803988
4,45,140.4269841
4,62,164.71885650000002
5,29,66.3992564
5,52,219.42556309999998
6,43,79.2287343
6,57,87.0266316
7,7,83.49265820000001
7,45,401.445694
8,8,207.24612990000003
8,10,63.0861625
8,35,57.0750527
8,45,64.2889597
9,19,77.0643406
9,27,35.4060362
9,29,32.2272303
10,29,47.3409641
10,39,353.6056448
10,44,120.7771028
12,55,46.288556
13,1,40.1278818
13,17,403.9286248
13,24,118.3423943
15,13,158.5138958
15,15,108.94627349999999
15,17,63.0861625
15,20,265.67680279999996
15,27,101.63862759999999
15,39,108.9919577
16,16,385.05890850000003
16,20,83.42981139999999
16,22,51.9998718
16,24,46.2724876
16,29,79.4362772
16,36,49.8373468
16,47,79.2287343
16,64,73.8462444
17,17,95.32655439999999
17,20,28.6028822
18,17,104.72585509999999
18,19,172.27460639999998
18,20,107.68528810000001
19,17,71.80518509999999
19,18,90.9814091
19,19,254.6375483
19,20,82.8291496
19,21,76.7207149
19,22,124.8283434
19,39,139.6030091
19,47,96.76255959999999
19,50,75.82763259999999
19,66,48.1231784
20,17,59.871279799999996
20,18,48.467204200000005
20,19,148.99519229999999
20,20,306.8721894
20,21,435.7277074
20,22,46.904991100000004
20,24,143.89445179999998
20,36,47.9950044
20,39,50.331899799999995
20,43,222.6113877
20,45,45.9542789
21,20,160.1079487
21,21,235.05740530000003
21,58,61.1655652
22,17,133.4341705
22,18,138.8581387
22,19,309.34810730000004
22,20,266.0390641
22,21,130.8532115
22,22,231.04824130000003
22,29,65.57348520000001
22,45,52.7122941
22,47,63.57920670000001
22,48,197.65621400000003
22,62,53.9235365
23,13,107.5353166
24,1,72.54631459999999
24,4,75.86376899999999
24,39,163.95626980000003
24,62,87.92616159999999
25,1,260.08461939999995
25,5,101.4063321
25,18,122.71094199999999
25,45,101.4063321
26,19,55.684911899999996
26,26,60.021204299999994
26,39,209.7597515
26,41,31.787941600000003
26,45,161.8334932
26,66,233.2951984
28,20,251.2473881
28,24,287.9409902
29,29,285.3312937
29,52,203.5789967
29,58,103.97947540000001
30,38,50.580568799999995
30,39,89.3849077
31,29,70.108491
31,31,145.25795509999998
32,1,58.96270870000001
32,29,83.045614
32,62,85.9418484
32,65,104.16847729999999
33,8,151.26483050000002
33,32,93.7250935
33,34,101.58108790000001
33,38,93.7250935
33,39,45.386970500000004
33,41,86.9538297
33,63,106.7591409
34,12,32.5838428
34,24,56.7655946
34,66,35.3633513
35,36,149.8358581
35,63,51.915401
35,66,53.644490299999994
36,17,82.9962815
36,29,38.212905299999996
37,26,46.904991100000004
37,45,44.8538781
39,1,253.16424560000002
39,8,57.525467799999994
39,16,84.1438274
39,39,93.1375084
40,0,257.5413244
41,32,91.8248876
41,39,357.4879035
42,1,53.302243299999994
42,39,48.8551929
43,29,83.309883
43,39,64.5676163
44,47,48.1231784
44,62,37.9867042
46,1,112.83081000000001
46,20,142.25731989999997
48,45,30.154652799999997
49,0,125.4182794
49,6,115.1842028
49,39,65.0711638
49,52,56.2572791
50,29,199.6919466
50,53,55.899729099999995
50,65,57.9979632
51,36,46.904991100000004
52,17,98.57072600000001
52,18,48.9854792
52,21,247.7888901
52,29,54.7967306
52,53,66.7828745
53,16,132.457074
53,18,32.2272303
53,29,28.6028822
53,36,50.534760399999996
53,39,55.50852239999999
53,45,54.9133677
53,52,100.1259628
53,53,201.0487782
57,27,31.5335883
62,1,48.467204200000005
62,62,49.8373468
63,5,28.492964100000002
64,1,41.0333102
64,39,154.7853559
65,32,70.4858932
66,16,207.04887939999998
66,17,230.73866479999998
66,20,253.24068140000003
66,45,79.7614998
66,66,100.7000795
67,18,206.73015210000003
67,67,220.2346244
68,52,72.6763556
