t1,t2,s1,s2,n1,n2
0,6.0,20,21.0,20,255.0
6,9.0,21,1.0,255,352.0
9,10.0,1,1.0,352,391.0
10,15.0,1,36.0,391,621.0
15,22.0,36,5.0,621,863.0
22,29.0,5,30.0,863,1161.0
29,36.0,30,31.0,1161,1435.0
36,40.0,31,20.0,1435,1580.0
40,46.0,20,21.0,1580,1815.0
46,49.0,21,1.0,1815,1912.0
49,50.0,1,1.0,1912,1951.0
50,55.0,1,36.0,1951,2181.0
55,62.0,36,5.0,2181,2423.0
62,69.0,5,30.0,2423,2721.0
69,76.0,30,31.0,2721,2995.0
76,80.0,31,20.0,2995,3140.0
80,86.0,20,21.0,3140,3375.0
86,89.0,21,1.0,3375,3472.0
89,90.0,1,1.0,3472,3511.0
90,95.0,1,36.0,3511,3741.0
95,102.0,36,5.0,3741,3983.0
102,109.0,5,30.0,3983,4281.0
109,116.0,30,31.0,4281,4555.0
116,120.0,31,20.0,4555,4700.0
120,126.0,20,21.0,4700,4935.0
126,129.0,21,1.0,4935,5032.0
129,130.0,1,1.0,5032,5071.0
130,135.0,1,36.0,5071,5301.0
135,142.0,36,5.0,5301,5543.0
142,149.0,5,30.0,5543,5841.0
149,156.0,30,31.0,5841,6115.0
156,160.0,31,20.0,6115,6260.0
