r,d,t1,t2,s1,s2,n1,n2
130,6,28,29.0,10,10.0,1102,1141.0
130,6,29,30.0,10,10.0,1141,1180.0
130,6,30,31.0,10,10.0,1180,1219.0
130,6,31,32.0,10,10.0,1219,1258.0
130,6,32,33.0,10,10.0,1258,1297.0
130,6,33,34.0,10,10.0,1297,1336.0
130,6,34,35.0,10,10.0,1336,1375.0
130,6,35,36.0,10,10.0,1375,1414.0
130,6,36,37.0,10,10.0,1414,1453.0
130,2,37,40.0,10,36.0,1453,1596.0
130,2,40,45.0,36,1.0,1596,1756.0
130,2,45,49.0,1,4.0,1756,1915.0
130,2,49,54.0,4,6.0,1915,2112.0
137,4,22,29.0,5,30.0,863,1161.0
137,4,29,36.0,30,31.0,1161,1435.0
137,4,36,40.0,31,20.0,1435,1580.0
140,4,22,29.0,5,30.0,863,1161.0
140,4,29,36.0,30,31.0,1161,1435.0
151,2,0.0,4.0,6.0,20.0,6.0,176.0
151,2,4,9.0,20,30.0,176,381.0
151,2,9,16.0,30,5.0,381,629.0
151,2,16,23.0,5,35.0,629,932.0
151,2,23,27.0,35,10.0,932,1063.0
151,2,27,32.0,10,2.0,1063,1250.0
152,2,0.0,4.0,6.0,20.0,6.0,176.0
152,2,4,9.0,20,30.0,176,381.0
152,2,9,16.0,30,5.0,381,629.0
152,2,16,23.0,5,35.0,629,932.0
152,2,23,27.0,35,10.0,932,1063.0
152,2,27,32.0,10,2.0,1063,1250.0
153,2,0.0,4.0,6.0,20.0,6.0,176.0
153,2,4,9.0,20,30.0,176,381.0
153,2,9,16.0,30,5.0,381,629.0
153,2,16,23.0,5,35.0,629,932.0
153,2,23,27.0,35,10.0,932,1063.0
153,2,27,32.0,10,2.0,1063,1250.0
154,2,0.0,4.0,6.0,20.0,6.0,176.0
154,2,4,9.0,20,30.0,176,381.0
154,2,9,16.0,30,5.0,381,629.0
154,2,16,23.0,5,35.0,629,932.0
154,2,23,27.0,35,10.0,932,1063.0
154,2,27,32.0,10,2.0,1063,1250.0
155,2,0.0,4.0,6.0,20.0,6.0,176.0
155,2,4,9.0,20,30.0,176,381.0
155,2,9,16.0,30,5.0,381,629.0
155,2,16,23.0,5,35.0,629,932.0
155,2,23,27.0,35,10.0,932,1063.0
155,2,27,32.0,10,2.0,1063,1250.0
156,2,0.0,4.0,6.0,20.0,6.0,176.0
156,2,4,9.0,20,30.0,176,381.0
156,2,9,16.0,30,5.0,381,629.0
156,2,16,23.0,5,35.0,629,932.0
156,2,23,27.0,35,10.0,932,1063.0
156,2,27,32.0,10,2.0,1063,1250.0
157,2,0.0,4.0,6.0,20.0,6.0,176.0
157,2,4,9.0,20,30.0,176,381.0
157,2,9,16.0,30,5.0,381,629.0
157,2,16,23.0,5,35.0,629,932.0
157,2,23,27.0,35,10.0,932,1063.0
157,2,27,32.0,10,2.0,1063,1250.0
158,2,0.0,4.0,6.0,20.0,6.0,176.0
158,2,4,9.0,20,30.0,176,381.0
158,2,9,16.0,30,5.0,381,629.0
158,2,16,23.0,5,35.0,629,932.0
158,2,23,27.0,35,10.0,932,1063.0
158,2,27,32.0,10,2.0,1063,1250.0
159,2,0.0,4.0,6.0,20.0,6.0,176.0
159,2,4,9.0,20,30.0,176,381.0
159,2,9,16.0,30,5.0,381,629.0
159,2,16,23.0,5,35.0,629,932.0
159,2,23,27.0,35,10.0,932,1063.0
159,2,27,32.0,10,2.0,1063,1250.0
160,2,0.0,4.0,6.0,20.0,6.0,176.0
160,2,4,9.0,20,30.0,176,381.0
160,2,9,16.0,30,5.0,381,629.0
160,2,16,23.0,5,35.0,629,932.0
160,2,23,27.0,35,10.0,932,1063.0
160,2,27,32.0,10,2.0,1063,1250.0
161,2,0.0,4.0,6.0,20.0,6.0,176.0
161,2,4,9.0,20,30.0,176,381.0
161,2,9,16.0,30,5.0,381,629.0
161,2,16,23.0,5,35.0,629,932.0
161,2,23,27.0,35,10.0,932,1063.0
161,2,27,32.0,10,2.0,1063,1250.0
170,0,4.0,8.0,6.0,23.0,162.0,335.0
170,0,8,13.0,23,4.0,335,511.0
170,0,13,17.0,4,1.0,511,664.0
170,6,17,18.0,1,1.0,664,703.0
170,6,18,19.0,1,1.0,703,742.0
170,6,19,20.0,1,1.0,742,781.0
170,6,20,21.0,1,1.0,781,820.0
170,6,21,22.0,1,1.0,820,859.0
170,6,22,23.0,1,1.0,859,898.0
170,6,23,24.0,1,1.0,898,937.0
170,6,24,25.0,1,1.0,937,976.0
170,6,25,26.0,1,1.0,976,1015.0
170,6,26,27.0,1,1.0,1015,1054.0
170,6,27,28.0,1,1.0,1054,1093.0
170,6,28,29.0,1,1.0,1093,1132.0
170,6,29,30.0,1,1.0,1132,1171.0
170,6,30,31.0,1,1.0,1171,1210.0
170,5,31,34.0,1,21.0,1210,1347.0
171,1,4.0,8.0,6.0,23.0,162.0,335.0
171,1,8,13.0,23,4.0,335,511.0
171,1,13,17.0,4,1.0,511,664.0
171,1,17,22.0,1,24.0,664,882.0
172,1,4.0,8.0,6.0,23.0,162.0,335.0
172,1,8,13.0,23,4.0,335,511.0
172,1,13,17.0,4,1.0,511,664.0
172,1,17,22.0,1,24.0,664,882.0
173,5,4.0,9.0,6.0,4.0,162.0,355.0
173,5,9,14.0,4,24.0,355,570.0
173,5,14,20.0,24,28.0,570,808.0
174,5,4.0,9.0,6.0,4.0,162.0,355.0
174,5,9,14.0,4,24.0,355,570.0
174,5,14,20.0,24,28.0,570,808.0
175,5,4.0,9.0,6.0,4.0,162.0,355.0
175,5,9,14.0,4,24.0,355,570.0
175,5,14,20.0,24,28.0,570,808.0
176,2,0.0,4.0,6.0,20.0,6.0,176.0
176,2,4,9.0,20,30.0,176,381.0
176,6,9,10.0,30,30.0,381,420.0
176,6,10,11.0,30,30.0,420,459.0
176,6,11,12.0,30,30.0,459,498.0
176,6,12,13.0,30,30.0,498,537.0
176,6,13,14.0,30,30.0,537,576.0
176,6,14,15.0,30,30.0,576,615.0
176,6,15,16.0,30,30.0,615,654.0
176,6,16,17.0,30,30.0,654,693.0
176,6,17,18.0,30,30.0,693,732.0
176,6,18,19.0,30,30.0,732,771.0
176,6,19,20.0,30,30.0,771,810.0
176,6,20,21.0,30,30.0,810,849.0
176,6,21,22.0,30,30.0,849,888.0
176,6,22,23.0,30,30.0,888,927.0
176,6,23,24.0,30,30.0,927,966.0
176,6,24,25.0,30,30.0,966,1005.0
176,6,25,26.0,30,30.0,1005,1044.0
176,6,26,27.0,30,30.0,1044,1083.0
176,6,27,28.0,30,30.0,1083,1122.0
176,6,28,29.0,30,30.0,1122,1161.0
176,4,29,36.0,30,31.0,1161,1435.0
299,3,37,44.0,13,18.0,1456,1734.0
299,3,44,50.0,18,29.0,1734,1979.0
300,3,37,44.0,13,18.0,1456,1734.0
300,3,44,50.0,18,29.0,1734,1979.0
301,3,37,44.0,13,18.0,1456,1734.0
301,3,44,50.0,18,29.0,1734,1979.0
302,3,37,44.0,13,18.0,1456,1734.0
302,3,44,50.0,18,29.0,1734,1979.0
303,3,37,44.0,13,18.0,1456,1734.0
303,3,44,50.0,18,29.0,1734,1979.0
350,3,27,28.0,14,14.0,1067,1106.0
350,3,28,29.0,14,14.0,1106,1145.0
350,3,29,37.0,14,13.0,1145,1456.0
357,3,29,37.0,14,13.0,1145,1456.0
357,3,37,44.0,13,18.0,1456,1734.0
358,3,29,37.0,14,13.0,1145,1456.0
358,3,37,44.0,13,18.0,1456,1734.0
359,3,29,37.0,14,13.0,1145,1456.0
359,3,37,44.0,13,18.0,1456,1734.0
419,3,27,28.0,14,14.0,1067,1106.0
419,3,28,29.0,14,14.0,1106,1145.0
419,3,29,37.0,14,13.0,1145,1456.0
419,3,37,44.0,13,18.0,1456,1734.0
419,3,44,50.0,18,29.0,1734,1979.0
420,3,27,28.0,14,14.0,1067,1106.0
420,3,28,29.0,14,14.0,1106,1145.0
421,3,27,28.0,14,14.0,1067,1106.0
421,3,29,37.0,14,13.0,1145,1456.0
421,3,37,44.0,13,18.0,1456,1734.0
421,3,44,50.0,18,29.0,1734,1979.0
422,3,28,29.0,14,14.0,1106,1145.0
422,3,29,37.0,14,13.0,1145,1456.0
422,3,37,44.0,13,18.0,1456,1734.0
422,3,44,50.0,18,29.0,1734,1979.0
423,3,27,28.0,14,14.0,1067,1106.0
423,3,28,29.0,14,14.0,1106,1145.0
423,3,29,37.0,14,13.0,1145,1456.0
423,3,37,44.0,13,18.0,1456,1734.0
423,3,44,50.0,18,29.0,1734,1979.0
