onX,onY,schOnTime,offX,offY,schOffTime,bookedTime,Counts
-86.44793701,42.09686279,0.302083333,-86.4782,42.0886,0.3125,0.56875,1
-86.44353485,42.12375641,0.305555556,-86.45622253,42.13165283,0.309027778,0.302083333,1
-86.42856598,42.11488342,0.305555556,-86.4852,42.081,0.315972222,0.304166667,1
-86.43280792,42.09253311,0.305555556,-86.3956,42.0901,0.315972222,0.56875,1
-86.45792389,42.10008621,0.305555556,-86.42102814,42.09737015,0.309027778,0.304166667,1
-86.4543457,42.10868073,0.305555556,-86.41747284,42.08218002,0.309027778,0.303472222,1
-86.44017792,42.09672165,0.305555556,-86.4782,42.0886,0.315972222,0.56875,1
-86.43399811,42.11748505,0.309027778,-86.43164063,42.08459854,0.3125,0.306944444,1
-86.44675446,42.09174728,0.309027778,-86.4179,42.0801,0.3125,0.30625,1
-86.44675446,42.09174728,0.3125,-86.4179,42.0801,0.322916667,0.56875,1
-86.45246887,42.08963013,0.3125,-86.48290253,42.10858154,0.322916667,0.56875,1
-86.4468689,42.10000229,0.3125,-86.48290253,42.10858154,0.322916667,0.56875,1
-86.4301,42.0927,0.3125,-86.48298645,42.1085968,0.322916667,0.56875,1
-86.45457458,42.1038475,0.3125,-86.48298645,42.1085968,0.322916667,0.56875,1
-86.438797,42.09329987,0.3125,-86.48298645,42.1085968,0.322916667,0.56875,1
-86.43164825,42.1079483,0.3125,-86.48290253,42.10858154,0.322916667,0.56875,1
-86.44368744,42.09463501,0.3125,-86.48298645,42.1085968,0.322916667,0.56875,1
-86.44480133,42.08011246,0.3125,-86.48290253,42.10858154,0.322916667,0.56875,1
-86.4061203,42.13270187,0.3125,-86.41747284,42.08218002,0.315972222,0.309027778,1
-86.452,42.1165,0.3125,-86.452034,42.11642075,0.322916667,0.527083333,1
-86.43112946,42.08456039,0.315972222,-86.45571899,42.1131897,0.319444444,0.314583333,1
-86.45549774,42.07906342,0.315972222,-86.47428131,42.10406494,0.319444444,0.313888889,1
-86.45572662,42.10268784,0.319444444,-86.45491791,42.11335754,0.322916667,0.31875,1
-86.4782,42.0886,0.319444444,-86.45744324,42.11085892,0.322916667,0.315972222,1
-86.40882111,42.09679794,0.322916667,-86.43565369,42.10214615,0.326388889,0.322222222,1
-86.40704346,42.12484741,0.326388889,-86.42191315,42.08197784,0.329861111,0.325,1
-86.44146729,42.08251953,0.329861111,-86.44353485,42.09248352,0.333333333,0.328472222,1
-86.45519257,42.10256195,0.329861111,-86.45239258,42.1158905,0.333333333,0.327083333,1
-86.44295502,42.11112976,0.329861111,-86.48136139,42.10754013,0.333333333,0.327777778,1
-86.48290253,42.10858154,0.333333333,-86.4653,42.1133,0.34375,0.56875,1
-86.45561981,42.08857346,0.333333333,-86.4843,42.0812,0.34375,0.56875,1
-86.45561981,42.08857346,0.333333333,-86.4843,42.0812,0.34375,0.56875,1
-86.45103455,42.10117722,0.333333333,-86.43538666,42.09188461,0.336805556,0.691666667,1
-86.43264008,42.11547089,0.333333333,-86.502,42.0807,0.336805556,0.331944444,1
-86.4296875,42.08423615,0.333333333,-86.45571899,42.1131897,0.34375,0.56875,1
-86.45004272,42.08737946,0.333333333,-86.45571899,42.1131897,0.34375,0.56875,1
-86.45052338,42.10349274,0.333333333,-86.43565369,42.10214615,0.336805556,0.276388889,1
-86.43515015,42.11426163,0.333333333,-86.44309998,42.14993286,0.34375,0.56875,1
-86.43093109,42.08435059,0.333333333,-86.4405365,42.10957718,0.34375,0.56875,1
-86.4276886,42.11508942,0.333333333,-86.452034,42.11642075,0.336805556,0.329861111,1
-86.45316315,42.13239288,0.333333333,-86.42982483,42.1210289,0.333333333,0.326388889,1
-86.45214081,42.09751892,0.333333333,-86.42191315,42.08197784,0.333333333,0.327777778,1
-86.45330048,42.11296082,0.333333333,-86.42191315,42.08197784,0.333333333,0.324305556,1
-86.45349884,42.10519409,0.333333333,-86.41850281,42.06805038,0.333333333,0.31875,1
-86.45239258,42.1158905,0.333333333,-86.43579102,42.08755112,0.333333333,0.310416667,1
-86.46381378,42.08795547,0.336805556,-86.47724152,42.11014938,0.340277778,0.336111111,1
-86.4372,42.1181,0.336805556,-86.4244,42.1003,0.340277778,0.336111111,1
-86.4416,42.114,0.336805556,-86.4368,42.0736,0.340277778,0.335416667,1
-86.40085602,42.12753296,0.336805556,-86.45329285,42.11584091,0.340277778,0.334722222,1
-86.452,42.1165,0.336805556,-86.452034,42.11642075,0.347222222,0.525,1
