t1,t2,s1,s2,n1,n2
0,4,29,53,29,329
4,11,53,0,329,759
11,17,0,41,759,1214
17,22,41,65,1214,1583
22,25,65,38,1583,1763
25,28,38,65,1763,1997
28,33,65,41,1997,2318
33,39,41,0,2318,2691
39,46,0,53,2691,3227
46,50,53,29,3227,3479
50,54,29,53,3479,3779
54,61,53,0,3779,4209
61,67,0,41,4209,4664
67,72,41,65,4664,5033
72,75,65,38,5033,5213
75,78,38,65,5213,5447
78,83,65,41,5447,5768
83,89,41,0,5768,6141
89,96,0,53,6141,6677
96,100,53,29,6677,6929
100,104,29,53,6929,7229
104,111,53,0,7229,7659
111,117,0,41,7659,8114
117,122,41,65,8114,8483
122,125,65,38,8483,8663
125,128,38,65,8663,8897
128,133,65,41,8897,9218
133,139,41,0,9218,9591
139,146,0,53,9591,10127
146,150,53,29,10127,10379
