t1,t2,s1,s2,n1,n2
0.0,5.0,1,66,1.0,411.0
5.0,10.0,66,64,411.0,754.0
10.0,13.0,64,6,754.0,903.0
13.0,15.0,6,50,903.0,1085.0
15.0,19.0,50,36,1085.0,1347.0
19.0,23.0,36,52,1347.0,1639.0
23.0,30.0,52,53,1639.0,2123.0
30.0,34.0,53,29,2123.0,2375.0
34.0,38.0,29,32,2375.0,2654.0
38.0,40.0,32,33,2654.0,2793.0
40.0,43.0,33,34,2793.0,3001.0
43.0,45.0,34,35,3001.0,3140.0
45.0,48.0,35,1,3140.0,3313.0
48.0,53.0,1,66,3313.0,3723.0
53.0,58.0,66,64,3723.0,4066.0
58.0,61.0,64,6,4066.0,4215.0
61.0,63.0,6,50,4215.0,4397.0
63.0,67.0,50,36,4397.0,4659.0
67.0,71.0,36,52,4659.0,4951.0
71.0,78.0,52,53,4951.0,5435.0
78.0,82.0,53,29,5435.0,5687.0
82.0,86.0,29,32,5687.0,5966.0
86.0,88.0,32,33,5966.0,6105.0
88.0,91.0,33,34,6105.0,6313.0
91.0,93.0,34,35,6313.0,6452.0
93.0,96.0,35,1,6452.0,6625.0
96.0,101.0,1,66,6625.0,7035.0
101.0,106.0,66,64,7035.0,7378.0
106.0,109.0,64,6,7378.0,7527.0
109.0,111.0,6,50,7527.0,7709.0
111.0,115.0,50,36,7709.0,7971.0
115.0,119.0,36,52,7971.0,8263.0
119.0,126.0,52,53,8263.0,8747.0
126.0,130.0,53,29,8747.0,8999.0
130.0,134.0,29,32,8999.0,9278.0
134.0,136.0,32,33,9278.0,9417.0
136.0,139.0,33,34,9417.0,9625.0
139.0,141.0,34,35,9625.0,9764.0
141.0,144.0,35,1,9764.0,9937.0
