t,s
0,17
7,18
16,13
17,13
18,13
22,62
23,62
24,62
25,62
26,62
30,64
33,6
34,6
35,6
36,6
38,50
42,52
46,50
50,52
55,29
60,0
63,40
64,40
68,43
72,40
73,40
74,40
77,0
82,29
87,52
91,50
95,52
99,50
101,6
102,6
103,6
106,64
110,62
111,62
112,62
113,62
114,62
118,13
127,18
134,17
