t1,t2,s1,s2,n1,n2
0,3.0,29,50.0,29,257.0
3,8.0,50,33.0,257,585.0
8,10.0,33,32.0,585,722.0
10,13.0,32,8.0,722,905.0
13,16.0,8,65.0,905,1169.0
16,20.0,65,29.0,1169,1409.0
