t,s
0.0,1
3.0,4
5.0,34
7.0,35
11.0,64
14.0,6
18.0,36
22.0,50
25.0,29
29.0,32
31.0,33
34.0,31
36.0,30
37.0,7
41.0,39
46.0,1
