t,s
0.0,1
9.0,24
16.0,23
22.0,25
28.0,21
32.0,2
35.0,12
38.0,66
45.0,63
48.0,62
54.0,52
59.0,29
63.0,32
65.0,33
68.0,34
70.0,35
73.0,1
