t1,t2,s1,s2
0.0,9.0,1,24
9.0,16.0,24,23
16.0,22.0,23,25
22.0,28.0,25,21
28.0,32.0,21,2
32.0,35.0,2,12
35.0,38.0,12,66
38.0,45.0,66,63
45.0,48.0,63,62
48.0,54.0,62,52
54.0,59.0,52,29
59.0,63.0,29,32
63.0,65.0,32,33
65.0,68.0,33,34
68.0,70.0,34,35
70.0,73.0,35,1
