t1,t2,s1,s2
0.0,3.0,1,4
3.0,5.0,4,34
5.0,7.0,34,35
7.0,11.0,35,64
11.0,14.0,64,6
14.0,18.0,6,36
18.0,22.0,36,50
22.0,25.0,50,29
25.0,29.0,29,32
29.0,31.0,32,33
31.0,34.0,33,31
34.0,36.0,31,30
36.0,37.0,30,7
37.0,41.0,7,39
41.0,46.0,39,1
