"emp1","emp2","emp3","emp4","emp5"
715,1065,1510,715,655
1065,1510,1090,630,655
1090,1090,1510,655,630
655,1875,715,630,1065
1090,1875,1510,630,715
715,1090,655,1090,1510
1090,655,715,630,715
1095,740,1065,955,905
1875,1095,655,740,590
675,655,1125,1510,1000
675,1065,985,630,1000
1000,1510,675,675,1125
1125,590,1540,590,1510
760,745,680,680,760
930,2925,1895,1405,745
655,2925,745,985,1040
1405,1405,655,930,2925
1090,1495,1875,590,630
1090,1125,590,1000,985
655,660,655,1125,1510
1540,905,675,1090,1000
1875,1540,1805,1510,1065
630,1000,985,1510,1090
1805,1090,985,1095,905
905,740,630,590,675
1895,655,1895,1090,1095
1875,1895,1495,1095,1065
1095,715,1875,1090,1895
1095,1875,580,580,1875
700,655,1380,630,1380
1400,985,700,1380,760
1715,915,700,1125,565
930,985,1125,930,1715
1715,1095,1510,440,340
340,930,1195,1510,985
203,246,246,100,1716
632,102,246,100,20
580,655,1875,1495,1095
1895,715,1495,1090,1095
1495,1040,1405,1065,1405
1090,1065,1040,1405,1495
100,56,447,291,1716
100,2557,4057,4158,1333
1895,955,1875,955,1495
1875,655,715,1895,1875
1805,1405,1720,1875,905
1805,1040,905,1720,905
590,985,1495,1090,1510
1495,985,1090,1510,590
1270,440,1875,985,1090
1095,1510,930,1045,1125
1510,1090,955,1715,910
630,690,1090,715,875
715,1065,1090,1195,1495
910,1805,1495,1510,1875
860,1510,1095,655,860
1875,565,1560,1145,340
955,1065,1560,1805,1875
1495,1195,1095,340,985
740,845,1125,340,985
1195,1560,875,1090,690
860,1090,1805,1065,740
1145,690,985,565,1090
860,630,715,955,1875
1065,1065,1715,955,1090
1715,1400,655,1090,1125
630,985,1400,1715,1125
1455,985,1380,1715,1495
1510,985,1125,715,1065
955,905,930,675,1875
660,930,955,1805,1095
1045,1715,1875,655,930
1495,1095,715,1540,1065
1540,1540,715,1875,985
1875,1875,2350,955,1045
715,1540,1125,715,1495
1715,930,580,650,1715
1715,650,1715,1510,930
955,930,1715,1715,650
905,930,1950,1405,655
715,660,1895,985,675
905,930,1045,1065,1895
1095,1540,1875,1950,905
985,905,690,985,675
655,1875,1895,1875,1495
740,930,955,985,520
1875,1245,1090,1245,725
1875,715,1245,1245,725
1875,715,1090,1245,725
725,715,1090,1245,725
1875,715,1090,1245,725
1875,1090,1090,1245,725
1875,715,1090,1090,725
1875,715,1090,1090,725
1125,340,1875,1510,955
955,340,1510,1195,1065
1495,1875,1065,1875,955
1540,905,660,985,2350
1950,985,1405,1950,1065
985,1805,985,1095,660
655,915,565,1455,630
760,1125,435,985,915
510,740,1090,1090,1560
590,955,725,660,700
955,955,1125,690,905
1090,1095,1875,655,985
1875,1095,905,1095,655
1095,1090,1065,690,905
1095,1095,985,690,1065
985,1125,1095,1095,1875
655,1090,955,985,955
1875,930,985,1090,1090
565,1455,915,1380,1090
1510,905,905,1895,985
1510,985,590,630,930
1510,1095,1875,715,1090
1510,1875,1875,715,1090
1510,1095,715,715,1090
1510,1095,1090,715,1090
1510,1095,1875,715,1090
1510,1875,1875,715,1090
1510,1095,1875,715,1090
1510,1095,1875,715,1090
1875,1095,1875,715,1090
1400,655,985,985,1125
690,1090,945,1715,930
985,1400,740,690,930
1400,955,1090,930,955
1715,1090,1400,1715,985
930,740,1400,1950,1715
1715,690,740,1400,1090
955,1715,1090,1950,1400
985,740,740,955,945
955,740,1950,690,985
1090,690,1715,955,740
740,655,1400,1950,1950
1715,955,1715,655,985
955,1715,1950,1090,1400
1950,1715,1400,985,655
1065,955,655,1125,1090
1875,1065,690,655,1125
1125,655,690,1875,1065
1400,655,1715,985,1125
1400,655,1715,655,1125
655,1065,1090,1875,1065
985,660,1400,675,435
985,660,435,1380,655
675,985,985,510,655
1380,985,675,660,985
985,675,435,1380,985
985,1400,1380,435,985
100,20,60,4158,1304
985,510,1380,1380,660
1380,1400,655,660,1400
905,690,1875,955,1095
110,100,6,1491,93
100,13,1725,32,384
675,435,675,510,655
510,1400,435,1380,985
1400,655,985,660,1380
1875,1095,1875,985,955
955,340,740,955,1380
590,875,915,1715,340
740,875,985,985,955
1400,655,1715,985,1125
1400,655,1715,1715,1125
955,1095,1875,985,955
1510,930,1125,1875,1715
1125,930,720,930,905
905,930,1875,930,590
740,590,1380,905,955
1090,945,1950,985,690
985,1950,1090,655,930
1510,1510,715,1895,720
985,1875,1875,1125,1510
1125,630,1335,655,1715
1875,715,1090,1875,725
1875,715,1875,1245,725
740,915,1715,955,435
590,905,1380,340,1715
435,590,1380,580,930
655,790,985,440,955
655,955,985,440,955
655,790,440,440,955
655,790,985,985,955
790,790,985,440,955
655,655,985,440,955
655,790,985,440,955
1895,1215,1895,1510,655
655,1895,1510,725,1215
985,655,1895,1895,1215
1195,1095,550,565,1195
580,1125,820,1195,740
955,740,985,340,1040
585,955,1195,1195,1875
1195,1095,565,985,1040
985,1195,820,1040,580
510,655,1400,510,985
660,675,655,985,1380
510,660,675,655,435
580,930,985,855,930
875,1715,1495,930,1380
985,1040,655,740,985
985,1040,985,1025,1510
1495,1715,435,985,415
985,985,1875,875,1380
585,580,985,660,415
1065,655,1125,1095,1510
100,100,100,100,100
655,1090,655,985,955
660,1090,660,985,955
655,1090,660,985,955
655,1090,660,985,955
655,1090,955,985,955
655,1090,655,985,955
660,715,740,1090,955
985,985,930,1895,955
1805,415,1510,1720,985
2350,715,715,1065,985
1065,1720,1040,715,1805
415,1065,715,905,690
1715,1400,1875,1875,985
1065,1715,1040,1715,1400
415,1090,585,585,1040
985,1090,985,585,1040
415,1090,985,1040,1040
100,100,100,100,100
1895,1495,860,715,1145
1875,1715,1090,1145,1805
985,655,1090,860,565
1090,715,1510,985,1895
1065,985,630,715,1875
715,1895,1125,845,1195
845,340,1145,715,875
340,1715,715,630,740
1095,1065,860,1560,1875
565,1875,1875,955,1195
985,1510,955,490,1875
1715,1065,955,1065,490
1875,1090,1715,2350,715
415,1090,985,585,1040
1335,1405,1405,985,1510
1405,1510,715,1895,1875
655,1335,720,930,630
1380,1805,1065,985,1510
100,855,447,246,13
955,1895,1090,1495,660
740,660,1495,655,1090
985,660,435,1090,955
1090,655,740,1090,1495
1090,435,930,715,1495
1040,715,1380,1380,415
1125,630,740,1560,655
1090,845,985,1065,955
690,1065,1195,715,955
740,1090,845,1090,1875
875,1805,1510,1065,1875
1065,1510,875,845,1095
655,1065,1145,1125,690
955,1875,845,1495,655
1090,1090,1405,1090,440
905,955,1405,2350,1875
440,440,1405,1125,1270
2350,875,1090,875,655
1090,985,875,1405,905
655,440,985,1405,955
875,1875,715,565,1195
955,655,630,985,1145
565,1715,630,1095,1510
100,384,32,1725,2201
1495,1805,1000,1095,1805
660,1065,1095,985,955
1095,905,590,1805,675
1125,1090,655,660,1495
905,1125,1875,1000,1090
1400,1040,1090,690,1065
1040,2350,1380,1065,1805
1380,690,415,1040,1875
1380,985,1875,1040,1510
1715,1875,1040,715,905
1040,2350,415,1720,1065
152,100,314,452,632
1510,1715,655,590,1510
1405,1335,630,590,1495
655,955,630,720,1405
955,435,660,580,985
985,1495,985,875,435
985,415,955,985,875
1380,875,435,985,930
660,1715,985,1380,585
985,955,930,1875,660
655,985,655,1510,1895
1895,1510,1715,985,655
1715,590,1380,985,655
1065,955,930,985,1380
655,1715,715,1065,1065
1195,1510,985,655,630
985,985,740,1895,1040
1895,1090,955,435,1895
