,dist1,dist2,dist3,dist4,dist5
138,3.6100000000000003,2.48,3.5599999999999996,6.59,3.6100000000000003
139,6.09,3.6100000000000003,2.94,3.5599999999999996,1.75
140,4.3,3.86,5.739999999999999,2.19,4.3
141,5.739999999999999,4.3,2.13,3.86,2.13
142,2.13,2.13,5.739999999999999,0.99,3.06
143,9999.0,10.11,9999.0,7.15,5.8
144,5.99,9.05,7.33,10.260000000000002,1.5
145,10.260000000000002,5.99,7.21,10.82,3.96
146,9999.0,14.45,8.29,11.690000000000001,12.330000000000002
147,3.6100000000000003,12.23,10.260000000000002,9999.0,10.82
148,2.07,5.1,9999.0,8.209999999999999,9999.0
149,1.32,3.6100000000000003,0.0,1.32,2.09
150,1.32,6.33,11.59,4.03,4.09
151,11.299999999999999,11.299999999999999,16.43,9999.0,9999.0
152,16.43,6.369999999999999,9999.0,7.76,16.43
153,0.0,7.76,10.139999999999999,6.369999999999999,16.43
154,7.76,0.0,16.43,11.299999999999999,6.369999999999999
155,0.0,9999.0,11.299999999999999,9999.0,16.43
156,6.369999999999999,9999.0,11.299999999999999,11.299999999999999,10.139999999999999
157,10.139999999999999,6.369999999999999,9999.0,9999.0,11.299999999999999
158,11.299999999999999,16.43,11.299999999999999,6.369999999999999,0.0
159,8.030000000000001,4.67,5.05,8.81,8.53
160,3.51,7.74,8.030000000000001,9.36,3.55
161,14.48,13.190000000000001,10.82,12.330000000000002,12.23
162,9999.0,18.52,3.77,1.73,0.0
163,18.52,0.0,9999.0,18.52,10.34
164,9999.0,8.030000000000001,9.36,8.55,4.67
165,11.84,9999.0,3.51,6.33,9.36
166,6.83,5.4,5.029999999999999,14.44,5.24
167,9999.0,7.15,6.98,7.9399999999999995,6.98
168,10.11,9999.0,7.15,7.15,9999.0
169,10.11,7.15,9999.0,9999.0,5.8
170,9999.0,6.98,10.11,9999.0,9999.0
171,4.03,2.09,3.6100000000000003,3.6100000000000003,0.0
172,2.09,0.0,4.03,2.09,4.09
173,9999.0,9999.0,9999.0,9999.0,9999.0
174,6.1,5.1899999999999995,8.2,1.75,8.509999999999998
175,9999.0,9999.0,9999.0,9999.0,9999.0
176,4.54,8.139999999999999,5.67,0.0,3.3099999999999996
177,6.83,5.4,14.44,3.7800000000000002,5.24
178,9999.0,4.260000000000001,4.709999999999999,5.57,2.8099999999999996
179,8.36,8.2,4.48,5.17,2.29
180,8.2,8.36,3.27,2.29,9999.0
181,6.11,0.0,6.11,5.1000000000000005,9999.0
182,8.36,9999.0,4.48,6.11,3.27
183,4.21,15.360000000000001,7.33,0.0,9999.0
184,9.16,9999.0,5.99,7.300000000000001,12.330000000000002
185,3.2899999999999996,1.6600000000000001,10.780000000000001,19.22,7.52
186,6.49,10.79,2.88,2.13,17.0
187,3.88,2.15,8.57,6.04,19.39
188,6.05,16.29,16.29,6.07,11.96
189,11.96,6.07,6.07,16.29,6.05
190,6.05,8.53,6.07,16.29,19.32
191,6.07,8.53,6.07,19.32,11.96
192,15.05,3.0700000000000003,4.970000000000001,4.970000000000001,4.7
193,4.7,4.98,15.05,4.970000000000001,3.0700000000000003
194,8.040000000000001,3.9399999999999995,8.629999999999999,4.44,3.67
195,3.9399999999999995,4.44,3.67,10.27,4.44
196,10.27,3.9399999999999995,3.67,8.040000000000001,8.040000000000001
197,4.44,8.040000000000001,3.9399999999999995,8.040000000000001,10.27
198,4.03,6.11,7.57,6.11,11.74
199,11.74,7.56,6.11,6.11,10.6
200,6.11,6.11,11.74,6.85,4.03
