,time1,time2,time3,time4,time5
822,51.6,153.35,0.0,234.95000000000002,262.84000000000003
823,0.0,70.98,211.80999999999997,237.14,144.48000000000002
824,153.35,180.57999999999998,144.48000000000002,337.8,211.80999999999997
825,144.48000000000002,262.84000000000003,49.37,155.98,56.07
826,0.0,180.57999999999998,144.48000000000002,237.14,51.6
827,0.0,180.57999999999998,51.6,271.38,9999.0
828,234.95000000000002,211.80999999999997,180.57999999999998,51.6,155.98
829,9999.0,271.38,234.95000000000002,262.84000000000003,153.35
830,49.37,153.35,155.98,0.0,192.21
831,180.57999999999998,237.14,211.80999999999997,29.6,153.35
832,65.37,234.95000000000002,144.48000000000002,180.57999999999998,192.21
833,144.48000000000002,51.6,65.37,0.0,29.6
834,0.0,180.57999999999998,192.21,56.07,237.14
835,47.28,21.58,9999.0,103.83,169.19
836,0.0,100.89,233.23000000000002,176.34,270.08
837,47.28,233.23000000000002,9999.0,294.03000000000003,194.61
838,83.22999999999999,100.89,21.58,0.0,9999.0
839,9999.0,151.9,65.4,0.0,82.7
840,0.0,76.05,288.61,76.05,151.9
841,130.38,288.61,151.9,76.05,9999.0
842,0.0,247.10000000000002,103.83,0.0,189.22
843,247.10000000000002,9999.0,45.37,169.19,176.76999999999998
844,0.0,189.22,176.76999999999998,47.28,270.08
845,233.23000000000002,9999.0,194.61,45.37,9999.0
846,169.28,0.0,169.28,21.58,9999.0
847,100.89,103.83,294.03000000000003,9999.0,83.22999999999999
848,56.07,9999.0,169.28,176.34,176.76999999999998
849,225.65,100.89,9999.0,0.0,9999.0
850,176.34,9999.0,169.19,194.61,159.32
851,247.10000000000002,9999.0,176.34,9999.0,169.28
852,130.38,259.01,187.51,125.83000000000001,174.63
853,82.7,0.0,125.83000000000001,130.38,158.43
854,0.0,9999.0,158.43,130.38,174.63
855,174.63,125.83000000000001,82.7,158.43,187.51
856,51.9,58.65,0.0,62.65,61.25
857,343.35,61.25,9999.0,26.049999999999997,368.1
858,61.25,51.9,9999.0,343.35,368.1
859,144.97,9999.0,81.2,66.94999999999999,162.60999999999999
860,92.72,52.08,42.11,75.73,61.76
861,61.76,61.76,36.43,24.58,84.30000000000001
862,9999.0,281.33,66.94999999999999,141.31,141.76999999999998
863,9999.0,144.97,81.2,141.31,0.0
864,281.33,235.03000000000003,222.14,141.76999999999998,173.56
865,105.88,66.94999999999999,41.38,141.31,281.33
866,66.94999999999999,229.53,320.68,205.35,146.59
867,229.53,9999.0,173.56,81.2,41.38
868,117.83,29.6,144.97,105.88,205.35
869,259.6,117.83,281.33,141.76999999999998,105.88
870,81.2,29.6,222.14,141.03,222.14
871,81.2,222.14,280.88,41.38,29.6
872,205.35,280.88,45.37,29.6,41.38
873,205.35,66.94999999999999,41.38,9999.0,0.0
874,77.87,9999.0,45.37,280.88,66.94999999999999
875,173.56,117.83,320.68,229.53,9999.0
876,180.57999999999998,144.48000000000002,180.57999999999998,29.6,70.98
877,0.0,49.37,262.84000000000003,134.09,262.84000000000003
878,235.03000000000003,280.88,177.23000000000002,141.31,222.14
879,173.56,241.78,9999.0,45.37,117.83
880,77.87,81.2,209.70000000000002,105.88,144.97
881,29.6,146.59,146.59,77.87,141.03
882,9999.0,177.23000000000002,141.76999999999998,241.78,9999.0
883,162.60999999999999,146.59,9999.0,205.35,209.70000000000002
884,209.70000000000002,141.76999999999998,222.14,280.88,144.97
885,146.59,45.37,320.68,205.35,259.6
886,259.6,320.68,0.0,205.35,81.2
887,72.02000000000001,157.67,201.08,106.32,72.02000000000001
888,169.19,157.67,106.32,72.02000000000001,72.02000000000001
889,105.88,41.38,81.2,29.6,209.70000000000002
890,162.60999999999999,141.03,66.94999999999999,141.31,205.35
891,41.38,9999.0,0.0,222.14,177.23000000000002
892,29.6,280.88,29.6,162.60999999999999,45.37
893,235.03000000000003,81.2,29.6,281.33,141.31
894,281.33,144.97,177.23000000000002,81.2,259.6
895,235.03000000000003,41.38,77.87,320.68,177.23000000000002
896,155.98,144.48000000000002,134.09,234.95000000000002,153.35
897,271.38,134.09,234.95000000000002,153.35,271.38
898,66.94999999999999,281.33,177.23000000000002,81.2,9999.0
899,77.87,241.78,105.88,41.38,320.68
900,77.87,259.6,9999.0,141.03,162.60999999999999
901,82.68,362.73,9999.0,82.68,35.1
902,362.73,35.1,0.0,199.64,82.68
903,362.73,0.0,0.0,9999.0,82.68
904,114.1,135.57,59.03,58.65,24.03
905,368.1,26.049999999999997,135.57,343.35,0.0
906,59.03,24.03,114.1,58.65,9999.0
907,235.03000000000003,29.6,81.2,141.03,280.88
908,222.14,229.53,9999.0,162.60999999999999,146.59
909,281.33,77.87,9999.0,209.70000000000002,77.87
910,45.37,141.03,235.03000000000003,117.83,280.88
911,259.6,9999.0,281.33,105.88,81.2
912,177.23000000000002,259.6,209.70000000000002,29.6,146.59
913,320.68,117.83,281.33,105.88,146.59
914,60.900000000000006,60.900000000000006,93.36,0.0,151.39
915,93.36,175.51,93.36,0.0,151.39
916,153.35,144.48000000000002,29.6,262.84000000000003,56.07
917,0.0,237.14,237.14,51.6,29.6
918,192.21,271.38,262.84000000000003,0.0,180.57999999999998
919,49.37,134.09,29.6,271.38,153.35
920,155.19,204.56,35.1,167.06,184.78
921,174.77,96.00999999999999,52.08,52.08,58.47
922,153.35,100.89,71.63,103.97999999999999,193.14
923,100.89,103.97999999999999,193.14,124.75999999999999,0.0
924,95.09,216.34,282.45,252.77,116.67
925,216.34,95.09,154.1,252.77,327.75
926,252.77,327.75,282.45,95.09,154.1
927,216.34,252.77,116.67,282.45,154.1
928,50.08,114.65,0.0,32.6,107.39
929,32.6,114.65,0.0,32.6,107.39
930,50.08,114.65,0.0,32.6,107.39
931,62.65,114.1,51.9,135.57,26.049999999999997
932,62.65,98.22999999999999,9999.0,51.9,26.049999999999997
933,17.53,135.91,25.4,75.42999999999999,256.01
934,382.72,0.0,64.7,68.14,59.72
935,321.20000000000005,36.2,50.03,121.00999999999999,392.79
936,177.53,168.31,313.13,103.38,367.33000000000004
937,324.73,267.0,171.06,25.4,35.58
938,60.5,147.13,68.14,100.61999999999999,47.28
939,9999.0,9999.0,9999.0,9999.0,9999.0
940,9999.0,9999.0,9999.0,9999.0,9999.0
941,9999.0,9999.0,9999.0,9999.0,9999.0
942,250.14,319.6500000000001,169.64,322.38000000000005,169.64
943,265.45,285.77,293.5,250.35000000000002,270.94
944,95.27,232.55,265.45,232.55,462.14
945,149.25,97.65,113.41999999999999,149.25,172.0
946,0.0,132.34,153.35,124.75999999999999,193.14
947,77.93,100.89,71.63,153.35,124.75999999999999
948,368.1,0.0,24.03,51.9,58.65
949,61.25,0.0,368.1,59.03,26.049999999999997
950,114.1,26.049999999999997,0.0,9999.0,26.049999999999997
951,154.1,216.34,282.45,252.77,95.09
952,95.09,116.67,327.75,154.1,327.75
953,50.73,25.33,71.0,107.43,63.949999999999996
954,252.77,95.09,282.45,327.75,216.34
955,327.75,95.09,252.77,282.45,116.67
956,216.34,327.75,154.1,95.09,116.67
957,399.5,387.48,323.0,376.45000000000005,267.96
958,56.48,288.55,136.81,130.38,94.22999999999999
959,56.48,92.91,130.38,94.22999999999999,57.8
960,149.25,97.65,172.0,98.5,172.0
961,149.25,98.5,113.41999999999999,98.5,172.0
962,167.91000000000003,73.0,126.12,126.12,51.269999999999996
963,102.17,167.91000000000003,43.42,10.8,51.269999999999996
964,167.91000000000003,51.269999999999996,73.0,126.12,12.15
965,51.269999999999996,10.8,102.17,167.91000000000003,34.4
966,398.55000000000007,398.55000000000007,221.35000000000002,119.25,116.97
967,133.44,129.15,203.24999999999997,114.09999999999998,233.37999999999997
968,91.72999999999999,451.74,22.83,476.47999999999996,109.26
969,165.33999999999997,129.15,242.59999999999997,96.87,129.15
970,175.14,280.65999999999997,22.83,466.42,76.72
971,183.46,183.46,190.16,388.37000000000006,467.2700000000001
972,190.16,134.09,190.16,388.37000000000006,467.2700000000001
