"dat_id","per_id","age","gender","income","lic","mode","purpose","X","geoid_o","sampno","deptime","geoid_d","zid","arrtime","dist","autoivtt","darivtt","walktt","costauto","sharedridecost","darefare","busfare","buswaitt","bustt","u_perid","emp","child16","hh_auto","dist1","dist2","dist3","dist4","dist5","emp1","emp2","emp3","emp4","emp5","geoid1","geoid2","geoid3","geoid4","geoid5"
3,202484901,4,2,7,1,4,3,3,260210110003,2024849,"4/28/2015 7:30",260210003002,260000000000,"4/28/2015 8:00",16.22,24.33,27.80571429,278.0571429,9.732,3.8928,3.622,1.811,-99999,38.928,1,0,-99999,3,12.78194435,14.20323477,13.95995831,15.22073069,14.08528963,124,1318,32,100,676,260210214004,260210004002,260210013002,260210003002,260210015001
3,202627201,4,1,5,1,4,17,17,260210025001,2026272,"5/6/2015 7:30",260210004002,260000000000,"5/6/2015 7:48",6.08,9.12,10.42285714,104.2285714,3.648,1.4592,2.608,1.304,-99999,14.592,1,0,-99999,1,6.9,3.23,10.04,6.08,29.42,985,1895,1405,655,910,260210021003,260210008002,260210011002,260210004002,261590118003
3,202965601,4,2,6,1,4,3,3,260210025002,2029656,"6/1/2015 8:15",260210024002,260000000000,"6/1/2015 8:30",6.97,10.455,11.94857143,119.4857143,4.182,1.6728,2.697,1.3485,-99999,16.728,1,0,-99999,2,7.08,5.22,0.38,2.57,5.11,955,930,1125,875,985,260210024002,260210009001,260210025002,260210023002,260210021003
3,202965602,4,1,6,1,4,15,15,260210025002,2029656,"6/1/2015 7:00",260210206002,260000000000,"6/1/2015 7:45",30.75,46.125,52.71428571,527.1428571,18.45,7.38,5.075,2.5375,-99999,73.8,1,1,-99999,2,30.75,7.08,22.69,30.75,7.11,720,955,930,720,630,260210206002,260210024002,261590105003,260210206002,260210017001
3,203107401,4,2,7,1,4,3,3,260210025002,2031074,"4/21/2015 7:00",260210017001,260000000000,"4/21/2015 7:20",7.11,10.665,12.18857143,121.8857143,4.266,1.7064,2.711,1.3555,-99999,17.064,1,0,-99999,2,7.11,22.69,3.55,2.71,7.87,630,930,590,1495,1510,260210017001,261590105003,260210009002,260210008001,260210015001
3,203107402,4,1,7,1,4,3,3,260210025002,2031074,"4/21/2015 7:45",260210004002,260000000000,"4/21/2015 7:50",1.26,1.89,2.16,21.6,0.756,0.3024,2.126,1.063,-99999,3.024,1,0,-99999,2,7.11,5.22,2.756,30.75,2.756,630,930,655,720,655,260210017001,260210009001,260210004002,260210206002,260210004002
3,203107402,4,1,7,1,4,3,3,260210025002,2031074,"4/21/2015 12:25",260210004002,260000000000,"4/21/2015 12:30",1.87,2.805,3.205714286,32.05714286,1.122,0.4488,2.187,1.0935,-99999,4.488,0,0,-99999,2,2.756,5.22,5.115,17.55,3.81,655,930,1405,1335,1510,260210004002,260210009001,260210011002,260210213001,260210008003
3,203339001,4,2,1,1,4,13,13,260210021003,2033390,"4/30/2015 8:00",260210020003,260000000000,"4/30/2015 8:30",0.74,1.11,1.268571429,12.68571429,0.444,0.1776,2.074,1.037,-99999,1.776,1,6,-99999,1,5.24,0.555,2.44,0.555,2.36,955,1715,1380,1715,905,260210024002,260210020003,260210005001,260210020003,260210014002
3,203427502,4,2,9,1,5,11,11,260210018001,2034275,"6/3/2015 7:58",260210020003,260000000000,"6/3/2015 8:05",3.98,5.97,6.822857143,68.22857143,2.388,0.9552,2.398,1.199,-99999,9.552,1,0,-99999,6,11.07143424,6.127232744,4.254328448,2.511177733,4.48317827,298,93,447,100,163,260210101004,260210006001,260210013001,260210020003,260210020001
3,203428401,5,1,3,1,1,17,17,260210025002,2034284,"4/22/2015 10:10",260210025002,260000000000,"4/22/2015 10:49",0.36,0.54,0.617142857,6.171428571,0.216,0.0864,2.036,1.018,-99999,0.864,0,1,-99999,1,30.75,17.55,0.38,0.38,6.1,720,1335,1125,1125,1875,260210206002,260210213001,260210025002,260210025002,260210011001
3,203877801,4,2,4,1,4,3,3,260210010001,2038778,"5/19/2015 8:00",260210017002,260000000000,"5/19/2015 8:14",6.59,9.885,11.29714286,112.9714286,3.954,1.5816,2.659,1.3295,-99999,15.816,1,0,-99999,2,12.78194435,1.877148435,6.184182164,3.331450341,6.184182164,13,90,100,159,291,260210213003,260210023002,260210017002,260210010001,260210014003
3,203877802,4,1,4,1,4,13,13,260210010001,2038778,"5/19/2015 9:30",260210021003,260000000000,"5/19/2015 9:40",3.55,5.325,6.085714286,60.85714286,2.13,0.852,2.355,1.1775,-99999,8.52,1,5,-99999,2,2.812614789,3.530412865,11.96308426,2.812614789,3.282683728,70,452,632,100,13,260210021002,260210214001,260210014002,260210021003,260210014001
3,204713201,4,2,-7,1,4,3,3,260210006003,2047132,"5/11/2015 6:30",260210004002,260000000000,"5/11/2015 6:40",0.93,1.395,1.594285714,15.94285714,0.558,0.2232,2.093,1.0465,-99999,2.232,0,0,-99999,1,2.65,3.02,2.07,1.10333333333333,1.10333333333333,740,985,930,655,655,260210010002,260210021003,260210009001,260210004002,260210004002
