"dist1","dist2","dist3","dist4","dist5"
76.88,3.06,1.455,9.93,1.43
1.68454545454545,1.68454545454545,7.12666666666667,9.93,3.995
0.55,1.35,1.28,9.47,2.87
8.39666666666667,4.68,1.35,0.55,2.87
86.41,4.68,0.43,0.55,2.01
3.19,2.95,3.375,0.5,7.1
6.645,3.23,5.93666666666667,6.97,2.26444444444444
7.26,33.02,6.645,0.69,1.298
8.13,7.395,7.41,8.995,5.93666666666667
7.53,0.737142857142857,1.745,5.24,2.29
5.24,5.24,1.745,2.31333333333333,3.06
2.31333333333333,2.31333333333333,7.01,9.75,5.03
1.745,5.24,11.38,1.745,7.53
4.84875,32.42,6.01,14.3,4.84875
4.84875,14.3,4.84875,9.205,32.42
6.57,32.42,4.84875,4.84875,14.3
3.23,33.02,16.23,4.565,8.995
1.654,7.26,8.075,6.28,6.97
3.23,5.93666666666667,8.13,2.52,8.075
1.298,3.79333333333333,2.26444444444444,16.23,3.23
6.28,3.23,5.11,6.28,6.97
8.995,2.26444444444444,8.075,2.26444444444444,7.88
7.27,5.93666666666667,6.645,6.28,25
1.52,24.32,3.77666666666667,24.32,8.47
1.52,0.38,24.32,24.32,8.47
1.52,0.38,3.77666666666667,24.32,8.47
8.47,0.38,3.77666666666667,24.32,8.47
1.52,0.38,3.77666666666667,24.32,8.47
1.52,3.77666666666667,3.77666666666667,24.32,8.47
1.52,0.38,3.77666666666667,3.77666666666667,8.47
1.52,0.38,3.77666666666667,3.77666666666667,8.47
6.44,25.89,5.38,5.84,3.36
3.36,25.89,5.84,20.93,4.55
7.53,2.31333333333333,2.29,5.49,9.75
3.79333333333333,3.23,7.26,6.28,6.73
16.23,6.28,4.565,16.23,2.52
6.28,0.69,6.28,1.298,7.26
1.28,14.65,2.75,86.41,8.39666666666667
2.35,2.87,1.37,4.68,14.65
1.54,2.85,6.2,6.2,2.22
4.25,3.2,12.36,1.395,23.19
3.81,3.81,6.26,9.37,3.315
7.24,6.23,3.94,4.49,4.13
3.24,6.23,3.315,6.23,4.49
6.23,7.24,3.865,9.37,3.315
6.23,6.23,4.13,9.37,3.865
4.13,6.26,6.23,6.23,3.94
1.3975,4.38,2.77,1.6,2.77
8.68,6.38,2.57,9.61,9.61
2.75,86.41,14.65,0.43,9.47
7.87,0.81,0.81,1.845,5.11
3.81,5.11,3.55,7.11,22.69
6.12,4.36,3.655,4.24,4.685
6.12,3.655,3.655,4.24,4.685
6.12,4.36,4.24,4.24,4.685
6.12,4.36,4.685,4.24,4.685
6.12,4.36,3.655,4.24,4.685
6.12,3.655,3.655,4.24,4.685
6.12,4.36,3.655,4.24,4.685
6.12,4.36,3.655,4.24,4.685
3.655,4.36,3.655,4.24,4.685
2.82,1.465,4.39,4.39,4.35
13.28,4.76,23.02,2.052,2.07
3.02,1.45,2.65,13.28,2.07
1.45,4,4.76,2.07,4
2.052,4.76,1.45,2.052,3.02
2.07,2.65,1.45,10.025,2.052
2.052,13.28,2.65,1.45,4.76
4,2.052,4.76,10.025,1.45
3.02,2.65,2.65,4,23.02
4,2.65,10.025,13.28,3.02
4.76,13.28,2.052,4,2.65
2.65,1.10333333333333,1.45,10.025,10.025
2.052,4,2.052,1.10333333333333,3.02
4,2.052,10.025,4.76,1.45
10.025,2.052,1.45,3.02,1.10333333333333
3.865,3.81,4.49,6.26,7.24
3.94,3.865,9.37,4.49,6.26
6.26,4.49,9.37,3.24,3.865
2.82,1.465,3.94666666666667,4.39,4.35
2.82,1.465,3.94666666666667,1.465,4.35
5.875,3.395,1.22333333333333,3.55,3.395
1.32714285714286,0.75,1.77,1.15,1.1
1.32714285714286,0.75,1.1,1.07,1.72
1.15,1.32714285714286,1.32714285714286,1.2,1.72
1.07,1.32714285714286,1.15,0.75,1.32714285714286
1.32714285714286,1.15,1.1,1.07,1.32714285714286
1.32714285714286,1.77,1.07,1.1,1.32714285714286
7.992628263,22.16026497,15.48603328,11.90944515,6.882323164
1.32714285714286,1.2,1.07,1.07,0.75
1.07,1.77,1.72,0.75,1.77
3.315,9.37,3.24,3.81,6.23
11.87628572,8.225371187,6.970817542,19.6128285,14.43048682
9.130060099,13.12505494,8.225371187,6.970817542,4.375685142
1.15,1.1,1.15,1.2,1.72
1.2,1.77,1.1,1.07,1.32714285714286
1.77,1.72,1.32714285714286,0.75,1.07
6.615,1.68,6.615,0.68,16.29
5.24,29.24,10.44,5.24,2.44
4.5,4.13,15.8,0.555,29.24
10.44,4.13,0.62625,0.62625,5.24
2.82,1.465,3.94666666666667,4.39,4.35
2.82,1.465,3.94666666666667,3.94666666666667,4.35
16.29,1.68,6.615,0.68,16.29
3.81,22.69,0.38,6.1,3.7
0.38,22.69,30.75,22.69,0.81
0.81,22.69,6.1,5.22,3.55
10.44,4.5,2.44,2.36,5.24
4.76,23.02,10.025,3.02,13.28
3.02,10.025,4.76,1.10333333333333,2.07
3.81,7.87,2.86,1.845,30.75
5.11,6.1,6.1,0.38,7.87
0.38,7.11,17.55,2.756,3.7
1.52,0.38,3.77666666666667,1.52,8.47
1.52,0.38,1.52,24.32,8.47
10.44,15.8,0.555,5.24,1.35
4.5,2.36,2.44,29.24,0.555
2.33,2.98,0.92,0.16,2.67
0.94,0.52,2.82,1.57,3.06
0.94,3.06,2.82,1.57,3.06
0.94,0.52,1.57,1.57,3.06
0.94,0.52,2.82,2.82,3.06
0.52,0.52,2.82,1.57,3.06
0.94,0.94,2.82,1.57,3.06
0.94,0.52,2.82,1.57,3.06
1.60333333333333,48.02,1.60333333333333,8.51,0.5375
0.5375,1.60333333333333,8.51,13.3,48.02
1.60333333333333,0.5375,1.60333333333333,1.60333333333333,48.02
4.41,9.89333333333333,7.81,9.81,4.41
5.5,7.4,26.03,4.41,4.6
1.22,4.6,2.52714285714286,30.66,9.31
3.765,1.22,4.41,4.41,2.76
4.41,9.89333333333333,9.81,2.52714285714286,9.31
2.52714285714286,4.41,26.03,9.31,5.5
1.2,1.72,1.77,1.2,1.32714285714286
0.75,1.15,1.72,1.32714285714286,1.07
1.2,0.75,1.15,1.72,1.1
0.16,2.67,2.22714285714286,30.5,2.67
4.24,1.93,2.7,2.67,0.92
8.09666666666667,0.28,10.74,7.47,8.09666666666667
8.09666666666667,0.28,8.09666666666667,76.82,4.45
2.7,1.93,2.33,2.22714285714286,0.24
2.22714285714286,2.22714285714286,8.19,4.24,0.92
0.68,0.16,2.22714285714286,8.44,0.24
7.1,2.492,3.375,6.37,3.19
5,5,5,5,5
1.3975,4.38,1.3975,1.6,2.77
0.495,4.38,0.495,1.6,2.77
1.3975,4.38,0.495,1.6,2.77
1.3975,4.38,0.495,1.6,2.77
1.3975,4.38,2.77,1.6,2.77
1.3975,4.38,1.3975,1.6,2.77
1.2,7.285,1.91,5.6575,2.715
2.62333333333333,2.62333333333333,2.79,4.33,2.715
0.69,29.62,1.53,1.19666666666667,6.78666666666667
8.45,2.3225,2.3225,2.87666666666667,6.78666666666667
2.87666666666667,1.19666666666667,2.11,2.3225,0.69
29.62,2.87666666666667,2.3225,2.55,7.815
5.76,8.73,1.03,1.03,6.78666666666667
2.87666666666667,5.76,2.11,5.76,8.73
1.51,8.22,7.2,7.2,6.72
1.93666666666667,8.22,1.93666666666667,7.2,6.72
1.51,8.22,1.93666666666667,6.72,6.72
5,5,5,5,5
6.86666666666667,6.545,76.88,1.455,24.8
1.43,7.12666666666667,3.995,24.8,0.695
4.805,7.76,3.995,76.88,8.03
3.995,1.455,4.9,4.805,6.86666666666667
1.68454545454545,4.805,3.06,1.455,4.75
1.455,6.86666666666667,10.89,18.72,24.05
18.72,22.67,24.8,1.455,1.6
22.67,7.12666666666667,1.455,3.06,15.33
1.868,1.68454545454545,76.88,7.2,1.43
8.03,1.43,1.43,9.93,24.05
10.64,7.33,13.11,15.28,4.52
1.84,5.79,13.11,5.79,15.28
1.03,2.48,5.76,8.45,2.3225
1.51,8.22,1.93666666666667,7.2,6.72
17.55,5.115,5.115,5.11,3.81
5.115,3.81,2.86,1.845,6.1
2.756,17.55,30.75,5.22,7.11
6.75,0.69,2.87666666666667,6.78666666666667,1.53
11.59441894,2.812614789,2.309085157,12.15716182,12.78194435
2.715,4.33,5.6575,3.23,1.2
1.91,1.2,3.23,1.74666666666667,5.6575
2.62333333333333,1.2,3.98,5.6575,2.715
5.6575,1.74666666666667,1.91,5.6575,3.23
5.6575,3.98,2.79,7.285,3.23
2.11,2.3225,6.75,6.75,29.62
10.89,3.06,15.33,7.2,7.76
3.995,18.72,4.805,1.68454545454545,9.93
5.74,1.68454545454545,24.05,1.455,9.93
15.33,3.995,18.72,3.995,1.43
1.6,0.695,4.9,1.68454545454545,4.75
1.68454545454545,4.9,1.6,18.72,1.868
7.76,1.68454545454545,24.8,10.89,5.74
9.93,1.43,18.72,6.545,7.76
4.56,15.5,4.34,15.5,4.38
7.37,3.15,4.34,16.11,3.725
4.38,4.38,4.34,4.77,144.66
16.11,4.44,4.56,4.44,2.73
15.5,1,4.44,4.34,7.37
2.73,4.38,1,4.34,3.15
1.6,1.43,1.455,8.03,24.05
9.93,7.76,3.06,4.805,24.8
8.03,7.12666666666667,3.06,1.868,2.62142857142857
4.10251423,2.255375522,6.689688286,4.10251423,1.400445089
5.95,2.755,55.95,2.04,2.755
4.705,1.67,2.04,5.75666666666667,1.71
2.04,1.16,2.75,2.755,7.05
7.62,4.01666666666667,6.335,4.705,5.95
1.16,7.62,2.21,55.95,4.01666666666667
8.73,2.11,2.48,7.815,2.87666666666667
2.11,8.45,6.75,2.87666666666667,0.69
6.75,7.815,29.62,2.11,1.03
6.75,6.78666666666667,1.03,2.11,1.53
5.76,1.03,2.11,2.3225,2.55
2.11,8.45,29.62,1.19666666666667,2.87666666666667
0.964393792,6.164875404,6.664379036,4.10251423,6.588315653
7.87,3.7,2.756,3.55,3.81
5.115,17.55,7.11,3.55,2.71
2.756,7.08,7.11,30.75,5.115
7.115,2.33,8.44,0.16,2.22714285714286
2.22714285714286,2.7,2.22714285714286,4.24,2.33
2.22714285714286,0.24,7.115,2.22714285714286,4.24
0.92,4.24,2.33,2.22714285714286,2.67
8.44,1.93,2.22714285714286,0.92,0.68
2.22714285714286,7.115,2.67,8.19,8.44
2.91,0.27,2.91,5.5425,3.84
3.84,5.5425,8.06,0.27,2.91
0.24,4.1,2.105,1.07857142857143,1.81
6.38,2.68,3.26,1.07857142857143,2.105
7.76,7.12666666666667,1.455,1.68454545454545,1.68454545454545
24.05,2.62142857142857,4.805,7.76,3.06
8.09666666666667,8.09666666666667,7.47,5.89,0.28
4.33,5.6575,2.715,3.98,4.33
2.715,3.98,2.79,2.62333333333333,3.23
2.715,2.715,7.285,2.62333333333333,1.2
10.89,24.8,4.805,7.12666666666667,4.75
0.24,4.94,6.38,1.07857142857143,3.26
3.26,4.94,7.78,8.71,1.81
1.07857142857143,1.81,1.07857142857143,3.26,6.38
0.24,4.94,7.78,6.38,8.71
8.78,8.59,4.52,6.9,10.04
5.69,4.52,8.59,8.78,5.34
6.38,51.36,5.39,2.68,4.94
7.78,1.81,4.1,2.105,5.39
5.62,3.99,9.67,3.99,4.93
16.00616455,12.01436478,4.904636293,2.780918089,9.439364638
2.68,3.26,6.38,8.71,4.94
1.07857142857143,30.66,2.68,1.81,1.81
51.36,1.81,5.39,3.26,8.71
2.57,0.28,8.68,2.575,6.38
3.583482067,9.938915265,4.527861008,10.42865812,0
1.51,8.22,1.93666666666667,8.22,6.72
2.44,0.62625,15.8,10.44,4.13
1.35,0.62625,0.555,0.62625,15.8
5,5,5,5,5
5.74,1.868,76.88,15.33,3.995
1.68454545454545,6.545,4.805,6.86666666666667,7.12666666666667
1.455,6.86666666666667,6.86666666666667,2.62142857142857,4.805
1.10333333333333,4,2.65,23.02,4.76
10.025,1.10333333333333,1.45,10.025,23.02
8.4,32.42,9.205,4.84875,9.205
7.732143087,9.242868899,7.572259382,9.569892195,7.590189862
10.85842671,8.99261935,6.679301346,8.360180657,3.749056725
9.272672241,3.522958163,7.572259382,5.828147819,5.009757783
6.335,2.755,4.01666666666667,4.83333333333333,5.95
5.98,4.01666666666667,2.91,1.71,6.335
2.052,2.65,2.65,4.76,10.025
4,3.02,2.07,2.65,23.02
2.52,33.02,2.52,8.075,7.41
16.23,25,8.995,25,7.88
2.26444444444444,7.27,8.995,2.26444444444444,1.298
8.13,2.26444444444444,3.275,1.654,3.23
3.275,2.52,6.705,25,7.41
5,5,5,5,5
2.62142857142857,3.06,22.67,7.76,24.05
6.86666666666667,4.805,6.545,1.68454545454545,4.9
7.424961357,3.432058487,8.453651596,13.36673336,4.594973311
8.453651596,6.576398413,12.37709713,8.658349295,20.67420203
2.87,8.995,1.654,33.02,8.13
7.88,0.69,7.41,2.87,6.645
5.93666666666667,7.27,2.87,6.97,6.28
1.91,5.6575,7.285,2.79,3.98
2.79,2.715,7.285,5.6575,5.6575
3.98,1.91,7.285,4.33,1.91
1.91,5.6575,1.74666666666667,3.98,3.98
2.62333333333333,4.33,2.715,1.2,2.62333333333333
