t,s
0,24
9,12
12,66
19,63
22,62
26,64
29,6
30,6
31,6
33,50
37,52
41,50
45,52
50,29
54,49
58,8
61,65
64,8
68,49
72,29
77,52
81,50
85,52
89,50
91,6
92,6
95,64
99,62
102,63
109,66
110,66
111,66
112,66
115,12
124,24
