r,d,t1,t2,s1,s2,n1,n2
159,2,16,23,5,35,629,932
159,2,23,27,35,10,932,1063
159,2,27,32,10,2,1063,1250
160,2,0,4,6,20,6,176
160,2,4,9,20,30,176,381
160,2,9,16,30,5,381,629
160,2,16,23,5,35,629,932
160,2,23,27,35,10,932,1063
160,2,27,32,10,2,1063,1250
170,1,4,8,6,23,162,335
170,1,8,13,23,4,335,511
170,1,13,17,4,1,511,664
170,1,17,22,1,24,664,882
171,1,4,8,6,23,162,335
171,1,8,13,23,4,335,511
171,0,13,17,4,1,511,664
171,0,17,22,1,24,664,882
213,6,29,32,8,23,1139,1271
213,6,32,36,23,6,1271,1410
213,6,36,40,6,20,1410,1580
593,2,4,9,20,30,176,381
611,4,10,13,21,1,411,508
612,5,20,24,21,5,801,941
613,5,20,24,21,5,801,941
614,5,29,36,21,6,1152,1410
621,5,14,17,21,1,567,664
621,0,17,22,1,24,664,882
621,0,22,26,24,23,882,1037
622,5,14,17,21,1,567,664
622,1,17,22,1,24,664,882
628,6,6,10,21,4,255,394
628,6,10,15,4,24,394,609
628,6,15,21,24,28,609,847
629,6,6,10,21,4,255,394
629,6,10,15,4,24,394,609
629,6,15,21,24,28,609,847
631,6,6,10,21,4,255,394
631,6,10,15,4,24,394,609
631,6,15,21,24,28,609,847
633,4,10,13,21,1,411,508
633,4,13,18,1,36,508,738
633,4,18,22,36,35,738,893
639,0,22,26,24,23,882,1037
639,0,26,30,23,6,1037,1176
641,6,15,21,24,28,609,847
681,4,29,36,30,31,1161,1435
681,4,36,40,31,20,1435,1580
683,4,29,36,30,31,1161,1435
684,4,29,36,30,31,1161,1435
685,4,29,36,30,31,1161,1435
686,4,29,36,30,31,1161,1435
702,3,64,68,31,20,2527,2672
714,2,23,27,35,10,932,1063
714,7,27,28,10,10,1063,1102
714,7,28,29,10,10,1102,1141
714,7,29,30,10,10,1141,1180
714,7,30,31,10,10,1180,1219
714,7,31,32,10,10,1219,1258
714,7,32,33,10,10,1258,1297
714,7,33,34,10,10,1297,1336
714,7,34,35,10,10,1336,1375
714,7,35,36,10,10,1375,1414
714,7,36,37,10,10,1414,1453
714,2,37,40,10,36,1453,1596
714,2,40,45,36,1,1596,1756
732,4,18,22,36,35,738,893
732,4,22,29,35,30,893,1161
732,4,29,36,30,31,1161,1435
733,4,18,22,36,35,738,893
733,4,22,29,35,30,893,1161
733,4,29,36,30,31,1161,1435
734,4,18,22,36,35,738,893
734,4,22,29,35,30,893,1161
734,4,29,36,30,31,1161,1435
735,4,18,22,36,35,738,893
735,4,22,29,35,30,893,1161
735,4,29,36,30,31,1161,1435
736,4,18,22,36,35,738,893
736,4,22,29,35,30,893,1161
736,4,29,36,30,31,1161,1435
737,4,18,22,36,35,738,893
737,4,22,29,35,30,893,1161
737,4,29,36,30,31,1161,1435
738,4,18,22,36,35,738,893
738,4,22,29,35,30,893,1161
738,4,29,36,30,31,1161,1435
Matching Rate: 0.11717709720372836
