t1,t2,s1,s2,n1,n2
0.0,4.0,49,8,49.0,284.0
4.0,7.0,8,65,284.0,548.0
7.0,10.0,65,38,548.0,728.0
10.0,14.0,38,39,728.0,1005.0
14.0,19.0,39,1,1005.0,1312.0
19.0,24.0,1,66,1312.0,1722.0
24.0,31.0,66,63,1722.0,2202.0
31.0,34.0,63,62,2202.0,2408.0
34.0,40.0,62,52,2408.0,2812.0
40.0,45.0,52,29,2812.0,3134.0
45.0,49.0,29,49,3134.0,3430.0
49.0,53.0,49,8,3430.0,3665.0
53.0,56.0,8,65,3665.0,3929.0
56.0,59.0,65,38,3929.0,4109.0
59.0,63.0,38,39,4109.0,4386.0
63.0,68.0,39,1,4386.0,4693.0
68.0,73.0,1,66,4693.0,5103.0
73.0,80.0,66,63,5103.0,5583.0
80.0,83.0,63,62,5583.0,5789.0
83.0,89.0,62,52,5789.0,6193.0
89.0,94.0,52,29,6193.0,6515.0
94.0,98.0,29,49,6515.0,6811.0
98.0,102.0,49,8,6811.0,7046.0
102.0,105.0,8,65,7046.0,7310.0
105.0,108.0,65,38,7310.0,7490.0
108.0,112.0,38,39,7490.0,7767.0
112.0,117.0,39,1,7767.0,8074.0
117.0,122.0,1,66,8074.0,8484.0
122.0,129.0,66,63,8484.0,8964.0
129.0,132.0,63,62,8964.0,9170.0
132.0,138.0,62,52,9170.0,9574.0
138.0,143.0,52,29,9574.0,9896.0
143.0,147.0,29,49,9896.0,10192.0
