r,d,t1,t2,s1,s2,n1,n2
177,0,0,4,20,6,20,162
177,0,4,9,6,4,162,355
177,0,9,14,4,24,355,570
178,0,0,4,20,6,20,162
178,0,4,9,6,4,162,355
178,0,9,14,4,24,355,570
179,0,0,4,20,6,20,162
179,0,4,9,6,4,162,355
179,0,9,14,4,24,355,570
180,0,0,4,20,6,20,162
180,0,4,9,6,4,162,355
180,0,9,14,4,24,355,570
181,0,0,4,20,6,20,162
181,0,4,9,6,4,162,355
181,0,9,14,4,24,355,570
182,0,0,4,20,6,20,162
182,0,4,9,6,4,162,355
182,0,9,14,4,24,355,570
183,2,5,12,30,5,225,473
184,2,5,12,30,5,225,473
185,2,5,12,30,5,225,473
186,2,5,12,30,5,225,473
187,2,5,12,30,5,225,473
188,2,20,27,35,5,815,1058
189,2,20,27,35,5,815,1058
190,2,20,27,35,5,815,1058
191,2,20,27,35,5,815,1058
192,2,20,27,35,5,815,1058
193,2,20,27,35,5,815,1058
194,2,20,27,35,5,815,1058
195,2,20,27,35,5,815,1058
232,3,28,32,24,23,1116,1271
232,3,32,36,23,6,1271,1410
232,3,36,40,6,20,1410,1580
240,0,9,14,4,24,355,570
241,0,9,14,4,24,355,570
242,0,9,14,4,24,355,570
243,0,9,14,4,24,355,570
244,0,9,14,4,24,355,570
245,1,27,34,35,30,1088,1356
246,1,27,34,35,30,1088,1356
252,0,16,21,24,1,648,820
257,1,35,40,30,20,1395,1580
262,2,27,34,5,30,1058,1356
264,3,28,32,24,23,1116,1271
Matching Rate: 0.5131086142322098
