r,d,t1,t2,s1,s2,n1,n2
241,0,17,22,1,24,664,882
242,0,13,17,4,1,511,664
242,0,17,22,1,24,664,882
243,0,13,17,4,1,511,664
243,0,17,22,1,24,664,882
244,0,13,17,4,1,511,664
244,0,17,22,1,24,664,882
245,4,14,21,35,30,581,849
246,4,14,21,35,30,581,849
257,4,35,40,30,20,1395,1580
264,0,22,26,24,23,882,1037
266,1,0,4,20,6,20,162
266,1,4,8,6,23,162,335
Matching Rate: 0.40823970037453183
