r
0
1
2
3
4
5
6
7
8
9
10
11
12
13
51
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
69
70
71
72
73
74
75
76
77
78
79
80
81
82
83
84
85
92
93
94
95
96
97
99
101
102
104
105
108
110
112
113
114
137
138
139
140
141
160
161
162
163
164
165
172
173
174
175
176
177
178
179
180
181
182
183
184
185
186
187
216
218
220
232
237
238
239
240
241
242
243
244
245
246
257
264
266
