t1,t2,s1,s2,n1,n2
0,8.0,20,5.0,20,317.0
8,12.0,5,21.0,317,489.0
12,15.0,21,1.0,489,586.0
15,18.0,1,21.0,586,723.0
18,22.0,21,5.0,723,863.0
22,29.0,5,30.0,863,1161.0
29,36.0,30,31.0,1161,1435.0
36,40.0,31,20.0,1435,1580.0
40,48.0,20,5.0,1580,1877.0
48,52.0,5,21.0,1877,2049.0
52,55.0,21,1.0,2049,2146.0
55,58.0,1,21.0,2146,2283.0
58,62.0,21,5.0,2283,2423.0
62,69.0,5,30.0,2423,2721.0
69,76.0,30,31.0,2721,2995.0
76,80.0,31,20.0,2995,3140.0
80,88.0,20,5.0,3140,3437.0
88,92.0,5,21.0,3437,3609.0
92,95.0,21,1.0,3609,3706.0
95,98.0,1,21.0,3706,3843.0
98,102.0,21,5.0,3843,3983.0
102,109.0,5,30.0,3983,4281.0
109,116.0,30,31.0,4281,4555.0
116,120.0,31,20.0,4555,4700.0
120,128.0,20,5.0,4700,4997.0
128,132.0,5,21.0,4997,5169.0
132,135.0,21,1.0,5169,5266.0
135,138.0,1,21.0,5266,5403.0
138,142.0,21,5.0,5403,5543.0
142,149.0,5,30.0,5543,5841.0
149,156.0,30,31.0,5841,6115.0
156,160.0,31,20.0,6115,6260.0
