t,s
0.0,0
3.0,40
7.0,43
9.0,42
11.0,5
15.0,43
17.0,3
22.0,10
27.0,39
32.0,1
35.0,34
37.0,35
40.0,33
42.0,32
46.0,29
51.0,0
