t1,t2,s1,s2
0.0,3.0,0,40
3.0,7.0,40,43
7.0,9.0,43,42
9.0,11.0,42,5
11.0,15.0,5,43
15.0,17.0,43,3
17.0,22.0,3,10
22.0,27.0,10,39
27.0,32.0,39,1
32.0,35.0,1,34
35.0,37.0,34,35
37.0,40.0,35,33
40.0,42.0,33,32
42.0,46.0,32,29
46.0,51.0,29,0
