t1,t2,s1,s2
0.0,3.0,3,38
3.0,6.0,38,30
6.0,7.0,30,7
7.0,9.0,7,4
9.0,11.0,4,34
11.0,13.0,34,35
13.0,16.0,35,33
16.0,18.0,33,32
18.0,20.0,32,31
20.0,22.0,31,8
22.0,26.0,8,29
26.0,30.0,29,49
30.0,33.0,49,65
33.0,36.0,65,38
36.0,39.0,38,3
39.0,44.0,3,45
44.0,49.0,45,3
