t,s
0.0,3
3.0,38
6.0,30
7.0,7
9.0,4
11.0,34
13.0,35
16.0,33
18.0,32
20.0,31
22.0,8
26.0,29
30.0,49
33.0,65
36.0,38
39.0,3
44.0,45
49.0,3
