t,s
0.0,65
3.0,8
7.0,49
11.0,29
16.0,52
20.0,50
24.0,52
28.0,50
30.0,6
31.0,6
34.0,64
38.0,62
41.0,63
48.0,66
49.0,66
50.0,66
51.0,66
54.0,12
63.0,24
72.0,12
75.0,66
82.0,63
85.0,62
89.0,64
92.0,6
93.0,6
94.0,6
96.0,50
100.0,52
104.0,50
108.0,52
113.0,29
117.0,49
121.0,8
124.0,65
