r
0
1
2
3
4
5
6
15
16
21
30
31
33
37
42
43
44
45
46
47
48
49
50
51
104
105
106
107
108
109
110
111
112
113
114
115
116
117
118
119
120
121
122
125
126
127
128
129
130
137
138
139
140
151
152
153
154
155
156
157
158
159
160
161
171
172
207
208
209
213
214
593
611
612
613
614
621
622
628
630
631
632
637
638
639
641
655
670
671
672
673
685
687
688
704
716
