t1,t2,s1,s2,n1,n2
0.0,3.0,1,34,1.0,241.0
3.0,6.0,34,33,241.0,447.0
6.0,8.0,33,32,447.0,584.0
8.0,12.0,32,29,584.0,857.0
12.0,16.0,29,53,857.0,1157.0
16.0,23.0,53,52,1157.0,1639.0
23.0,27.0,52,36,1639.0,1899.0
27.0,31.0,36,50,1899.0,2189.0
31.0,33.0,50,6,2189.0,2283.0
33.0,36.0,6,64,2283.0,2548.0
36.0,40.0,64,35,2548.0,2795.0
40.0,43.0,35,1,2795.0,2968.0
43.0,46.0,1,34,2968.0,3208.0
46.0,49.0,34,33,3208.0,3414.0
49.0,51.0,33,32,3414.0,3551.0
51.0,55.0,32,29,3551.0,3824.0
55.0,59.0,29,53,3824.0,4124.0
59.0,66.0,53,52,4124.0,4606.0
66.0,70.0,52,36,4606.0,4866.0
70.0,74.0,36,50,4866.0,5156.0
74.0,76.0,50,6,5156.0,5250.0
76.0,79.0,6,64,5250.0,5515.0
79.0,83.0,64,35,5515.0,5762.0
83.0,86.0,35,1,5762.0,5935.0
86.0,89.0,1,34,5935.0,6175.0
89.0,92.0,34,33,6175.0,6381.0
92.0,94.0,33,32,6381.0,6518.0
94.0,98.0,32,29,6518.0,6791.0
98.0,102.0,29,53,6791.0,7091.0
102.0,109.0,53,52,7091.0,7573.0
109.0,113.0,52,36,7573.0,7833.0
113.0,117.0,36,50,7833.0,8123.0
117.0,119.0,50,6,8123.0,8217.0
119.0,122.0,6,64,8217.0,8482.0
122.0,126.0,64,35,8482.0,8729.0
126.0,129.0,35,1,8729.0,8902.0
129.0,132.0,1,34,8902.0,9142.0
132.0,135.0,34,33,9142.0,9348.0
135.0,137.0,33,32,9348.0,9485.0
137.0,141.0,32,29,9485.0,9758.0
141.0,145.0,29,53,9758.0,10058.0
145.0,152.0,53,52,10058.0,10540.0
152.0,156.0,52,36,10540.0,10800.0
156.0,160.0,36,50,10800.0,11090.0
160.0,162.0,50,6,11090.0,11184.0
162.0,165.0,6,64,11184.0,11449.0
165.0,169.0,64,35,11449.0,11696.0
169.0,172.0,35,1,11696.0,11869.0
