t1,t2,s1,s2,n1,n2
0.0,3.0,1,4,1.0,211.0
3.0,5.0,4,34,211.0,379.0
5.0,7.0,34,35,379.0,518.0
7.0,10.0,35,33,518.0,723.0
10.0,12.0,33,32,723.0,860.0
12.0,16.0,32,29,860.0,1133.0
16.0,20.0,29,49,1133.0,1429.0
20.0,23.0,49,65,1429.0,1652.0
23.0,26.0,65,8,1652.0,1802.0
26.0,28.0,8,31,1802.0,1963.0
28.0,30.0,31,30,1963.0,2100.0
30.0,31.0,30,7,2100.0,2146.0
31.0,35.0,7,39,2146.0,2454.0
35.0,41.0,39,45,2454.0,2874.0
41.0,52.0,45,1,2874.0,3589.0
52.0,55.0,1,4,3589.0,3799.0
55.0,57.0,4,34,3799.0,3967.0
57.0,59.0,34,35,3967.0,4106.0
59.0,62.0,35,33,4106.0,4311.0
62.0,64.0,33,32,4311.0,4448.0
64.0,68.0,32,29,4448.0,4721.0
68.0,72.0,29,49,4721.0,5017.0
72.0,75.0,49,65,5017.0,5240.0
75.0,78.0,65,8,5240.0,5390.0
78.0,80.0,8,31,5390.0,5551.0
80.0,82.0,31,30,5551.0,5688.0
82.0,83.0,30,7,5688.0,5734.0
83.0,87.0,7,39,5734.0,6042.0
87.0,93.0,39,45,6042.0,6462.0
93.0,104.0,45,1,6462.0,7177.0
104.0,107.0,1,4,7177.0,7387.0
107.0,109.0,4,34,7387.0,7555.0
109.0,111.0,34,35,7555.0,7694.0
111.0,114.0,35,33,7694.0,7899.0
114.0,116.0,33,32,7899.0,8036.0
116.0,120.0,32,29,8036.0,8309.0
120.0,124.0,29,49,8309.0,8605.0
124.0,127.0,49,65,8605.0,8828.0
127.0,130.0,65,8,8828.0,8978.0
130.0,132.0,8,31,8978.0,9139.0
132.0,134.0,31,30,9139.0,9276.0
134.0,135.0,30,7,9276.0,9322.0
135.0,139.0,7,39,9322.0,9630.0
139.0,145.0,39,45,9630.0,10050.0
145.0,156.0,45,1,10050.0,10765.0
