t1,t2,s1,s2,n1,n2
0,5.0,29,7.0,29,202.0
5,11.0,7,19.0,202,448.0
11,20.0,19,15.0,448,795.0
20,29.0,15,14.0,795,1145.0
29,37.0,14,13.0,1145,1456.0
37,44.0,13,18.0,1456,1734.0
44,50.0,18,29.0,1734,1979.0
50,55.0,29,7.0,1979,2152.0
55,61.0,7,19.0,2152,2398.0
61,70.0,19,15.0,2398,2745.0
70,79.0,15,14.0,2745,3095.0
79,87.0,14,13.0,3095,3406.0
87,94.0,13,18.0,3406,3684.0
94,100.0,18,29.0,3684,3929.0
100,105.0,29,7.0,3929,4102.0
105,111.0,7,19.0,4102,4348.0
111,120.0,19,15.0,4348,4695.0
120,129.0,15,14.0,4695,5045.0
129,137.0,14,13.0,5045,5356.0
137,144.0,13,18.0,5356,5634.0
144,150.0,18,29.0,5634,5879.0
