t1,t2,s1,s2,n1,n2
0,4.0,20,6.0,20,162.0
4,5.0,6,6.0,162,201.0
5,6.0,6,6.0,201,240.0
6,10.0,6,23.0,240,413.0
10,13.0,23,8.0,413,515.0
13,18.0,8,24.0,515,726.0
18,23.0,24,1.0,726,898.0
23,26.0,1,21.0,898,1035.0
26,30.0,21,5.0,1035,1175.0
30,31.0,5,5.0,1175,1214.0
31,32.0,5,5.0,1214,1253.0
32,40.0,5,20.0,1253,1580.0
40,44.0,20,6.0,1580,1722.0
44,45.0,6,6.0,1722,1761.0
45,46.0,6,6.0,1761,1800.0
46,50.0,6,23.0,1800,1973.0
50,53.0,23,8.0,1973,2075.0
53,58.0,8,24.0,2075,2286.0
58,63.0,24,1.0,2286,2458.0
63,66.0,1,21.0,2458,2595.0
66,70.0,21,5.0,2595,2735.0
70,71.0,5,5.0,2735,2774.0
71,72.0,5,5.0,2774,2813.0
72,80.0,5,20.0,2813,3140.0
80,84.0,20,6.0,3140,3282.0
84,85.0,6,6.0,3282,3321.0
85,86.0,6,6.0,3321,3360.0
86,90.0,6,23.0,3360,3533.0
90,93.0,23,8.0,3533,3635.0
93,98.0,8,24.0,3635,3846.0
98,103.0,24,1.0,3846,4018.0
103,106.0,1,21.0,4018,4155.0
106,110.0,21,5.0,4155,4295.0
110,111.0,5,5.0,4295,4334.0
111,112.0,5,5.0,4334,4373.0
112,120.0,5,20.0,4373,4700.0
120,124.0,20,6.0,4700,4842.0
124,125.0,6,6.0,4842,4881.0
125,126.0,6,6.0,4881,4920.0
126,130.0,6,23.0,4920,5093.0
130,133.0,23,8.0,5093,5195.0
133,138.0,8,24.0,5195,5406.0
138,143.0,24,1.0,5406,5578.0
143,146.0,1,21.0,5578,5715.0
146,150.0,21,5.0,5715,5855.0
150,151.0,5,5.0,5855,5894.0
151,152.0,5,5.0,5894,5933.0
152,160.0,5,20.0,5933,6260.0
