r,d,t1,t2,s1,s2,n1,n2
172,2,0,4,6,20,6,176
172,2,4,9,20,30,176,381
173,1,0,4,20,6,20,162
173,1,4,8,6,23,162,335
173,1,8,13,23,4,335,511
173,1,13,17,4,1,511,664
173,1,17,22,1,24,664,882
174,1,0,4,20,6,20,162
174,1,4,8,6,23,162,335
174,1,8,13,23,4,335,511
174,1,13,17,4,1,511,664
174,1,17,22,1,24,664,882
175,1,0,4,20,6,20,162
175,1,4,8,6,23,162,335
175,1,8,13,23,4,335,511
175,1,13,17,4,1,511,664
175,1,17,22,1,24,664,882
176,1,0,4,20,6,20,162
176,1,4,8,6,23,162,335
176,1,8,13,23,4,335,511
176,1,13,17,4,1,511,664
176,1,17,22,1,24,664,882
177,1,0,4,20,6,20,162
177,1,4,8,6,23,162,335
177,1,8,13,23,4,335,511
177,1,13,17,4,1,511,664
177,1,17,22,1,24,664,882
178,1,0,4,20,6,20,162
178,1,4,8,6,23,162,335
178,1,8,13,23,4,335,511
178,1,13,17,4,1,511,664
178,1,17,22,1,24,664,882
179,1,0,4,20,6,20,162
179,1,4,8,6,23,162,335
179,1,8,13,23,4,335,511
179,1,13,17,4,1,511,664
179,1,17,22,1,24,664,882
180,1,0,4,20,6,20,162
180,1,4,8,6,23,162,335
180,1,8,13,23,4,335,511
180,1,13,17,4,1,511,664
180,1,17,22,1,24,664,882
181,1,0,4,20,6,20,162
181,1,4,8,6,23,162,335
181,1,8,13,23,4,335,511
181,1,13,17,4,1,511,664
181,1,17,22,1,24,664,882
182,1,0,4,20,6,20,162
182,1,4,8,6,23,162,335
182,1,8,13,23,4,335,511
182,1,13,17,4,1,511,664
182,1,17,22,1,24,664,882
183,2,9,16,30,5,381,629
184,2,9,16,30,5,381,629
185,2,9,16,30,5,381,629
186,2,9,16,30,5,381,629
187,2,9,16,30,5,381,629
216,2,0,4,6,20,6,176
216,2,4,9,20,30,176,381
216,6,9,10,30,30,381,420
216,6,10,11,30,30,420,459
216,6,11,12,30,30,459,498
216,6,12,13,30,30,498,537
216,6,13,14,30,30,537,576
216,6,14,15,30,30,576,615
216,6,15,16,30,30,615,654
216,6,16,17,30,30,654,693
216,6,17,18,30,30,693,732
216,6,18,19,30,30,732,771
216,6,19,20,30,30,771,810
216,6,20,21,30,30,810,849
216,4,21,28,30,35,849,1127
217,2,0,4,6,20,6,176
217,2,4,9,20,30,176,381
217,6,9,10,30,30,381,420
217,6,10,11,30,30,420,459
217,6,11,12,30,30,459,498
217,6,12,13,30,30,498,537
217,6,13,14,30,30,537,576
217,6,14,15,30,30,576,615
217,6,15,16,30,30,615,654
217,6,16,17,30,30,654,693
217,6,17,18,30,30,693,732
217,6,18,19,30,30,732,771
217,6,19,20,30,30,771,810
217,6,20,21,30,30,810,849
217,4,21,28,30,35,849,1127
218,2,0,4,6,20,6,176
218,2,4,9,20,30,176,381
218,6,9,10,30,30,381,420
218,6,10,11,30,30,420,459
218,6,11,12,30,30,459,498
218,6,12,13,30,30,498,537
218,6,13,14,30,30,537,576
218,6,14,15,30,30,576,615
218,6,15,16,30,30,615,654
218,6,16,17,30,30,654,693
218,6,17,18,30,30,693,732
218,6,18,19,30,30,732,771
218,6,19,20,30,30,771,810
218,6,20,21,30,30,810,849
218,4,21,28,30,35,849,1127
219,2,0,4,6,20,6,176
219,2,4,9,20,30,176,381
219,6,9,10,30,30,381,420
219,6,10,11,30,30,420,459
219,6,11,12,30,30,459,498
219,6,12,13,30,30,498,537
219,6,13,14,30,30,537,576
219,6,14,15,30,30,576,615
219,6,15,16,30,30,615,654
219,6,16,17,30,30,654,693
219,6,17,18,30,30,693,732
219,6,18,19,30,30,732,771
219,6,19,20,30,30,771,810
219,6,20,21,30,30,810,849
219,4,21,28,30,35,849,1127
220,2,0,4,6,20,6,176
220,2,4,9,20,30,176,381
220,6,9,10,30,30,381,420
220,6,10,11,30,30,420,459
220,6,11,12,30,30,459,498
220,6,12,13,30,30,498,537
220,6,13,14,30,30,537,576
220,6,14,15,30,30,576,615
220,6,15,16,30,30,615,654
220,6,16,17,30,30,654,693
220,6,17,18,30,30,693,732
220,6,18,19,30,30,732,771
220,6,19,20,30,30,771,810
220,6,20,21,30,30,810,849
220,4,21,28,30,35,849,1127
221,2,0,4,6,20,6,176
221,2,4,9,20,30,176,381
221,2,9,16,30,5,381,629
221,2,16,23,5,35,629,932
222,2,0,4,6,20,6,176
222,2,4,9,20,30,176,381
222,6,9,10,30,30,381,420
222,6,10,11,30,30,420,459
222,6,11,12,30,30,459,498
222,6,12,13,30,30,498,537
222,6,13,14,30,30,537,576
222,6,14,15,30,30,576,615
222,6,15,16,30,30,615,654
222,6,16,17,30,30,654,693
222,6,17,18,30,30,693,732
222,6,18,19,30,30,732,771
222,6,19,20,30,30,771,810
222,6,20,21,30,30,810,849
222,4,21,28,30,35,849,1127
223,2,0,4,6,20,6,176
223,2,4,9,20,30,176,381
223,2,9,16,30,5,381,629
223,2,16,23,5,35,629,932
224,2,0,4,6,20,6,176
224,2,4,9,20,30,176,381
224,2,9,16,30,5,381,629
224,2,16,23,5,35,629,932
225,2,0,4,6,20,6,176
225,2,4,9,20,30,176,381
225,6,9,10,30,30,381,420
225,6,10,11,30,30,420,459
225,6,11,12,30,30,459,498
225,6,12,13,30,30,498,537
225,6,13,14,30,30,537,576
225,6,14,15,30,30,576,615
225,6,15,16,30,30,615,654
225,6,16,17,30,30,654,693
225,6,17,18,30,30,693,732
225,6,18,19,30,30,732,771
225,6,19,20,30,30,771,810
225,6,20,21,30,30,810,849
225,4,21,28,30,35,849,1127
232,0,22,26,24,23,882,1037
232,0,26,30,23,6,1037,1176
232,0,30,34,6,20,1176,1346
237,2,0,4,6,20,6,176
237,2,4,9,20,30,176,381
237,2,9,16,30,5,381,629
238,2,0,4,6,20,6,176
238,2,4,9,20,30,176,381
238,2,9,16,30,5,381,629
239,2,0,4,6,20,6,176
239,2,4,9,20,30,176,381
239,2,9,16,30,5,381,629
240,0,13,17,4,1,511,664
240,0,17,22,1,24,664,882
241,0,13,17,4,1,511,664
241,0,17,22,1,24,664,882
242,0,13,17,4,1,511,664
242,0,17,22,1,24,664,882
243,0,13,17,4,1,511,664
243,0,17,22,1,24,664,882
244,0,13,17,4,1,511,664
244,0,17,22,1,24,664,882
245,4,14,21,35,30,581,849
246,4,14,21,35,30,581,849
257,4,35,40,30,20,1395,1580
264,0,22,26,24,23,882,1037
266,1,0,4,20,6,20,162
266,1,4,8,6,23,162,335
Matching Rate: 0.5205992509363296
