t,s
0.0,29
4.0,49
8.0,8
11.0,30
14.0,8
17.0,30
18.0,30
19.0,7
22.0,1
27.0,39
28.0,39
29.0,39
30.0,39
34.0,38
39.0,41
44.0,65
49.0,41
54.0,40
55.0,40
58.0,0
61.0,40
64.0,0
71.0,53
72.0,53
73.0,53
74.0,53
78.0,29
