r,d,t1,t2,s1,s2,n1,n2
151,2,9,16,30,5,381,629
151,2,16,23,5,35,629,932
151,2,23,27,35,10,932,1063
151,2,27,32,10,2,1063,1250
152,2,0,4,6,20,6,176
152,2,4,9,20,30,176,381
152,2,9,16,30,5,381,629
152,2,16,23,5,35,629,932
152,2,23,27,35,10,932,1063
152,2,27,32,10,2,1063,1250
153,2,0,4,6,20,6,176
153,2,4,9,20,30,176,381
153,2,9,16,30,5,381,629
153,2,16,23,5,35,629,932
153,2,23,27,35,10,932,1063
153,2,27,32,10,2,1063,1250
154,2,0,4,6,20,6,176
154,2,4,9,20,30,176,381
154,2,9,16,30,5,381,629
154,2,16,23,5,35,629,932
154,2,23,27,35,10,932,1063
154,2,27,32,10,2,1063,1250
155,2,0,4,6,20,6,176
155,2,4,9,20,30,176,381
155,2,9,16,30,5,381,629
155,2,16,23,5,35,629,932
155,2,23,27,35,10,932,1063
155,2,27,32,10,2,1063,1250
156,2,0,4,6,20,6,176
156,2,4,9,20,30,176,381
156,2,9,16,30,5,381,629
156,2,16,23,5,35,629,932
156,2,23,27,35,10,932,1063
156,2,27,32,10,2,1063,1250
157,2,0,4,6,20,6,176
157,2,4,9,20,30,176,381
157,2,9,16,30,5,381,629
157,2,16,23,5,35,629,932
157,2,23,27,35,10,932,1063
157,2,27,32,10,2,1063,1250
158,2,0,4,6,20,6,176
158,2,4,9,20,30,176,381
158,2,9,16,30,5,381,629
158,2,16,23,5,35,629,932
158,2,23,27,35,10,932,1063
158,2,27,32,10,2,1063,1250
159,2,0,4,6,20,6,176
159,2,4,9,20,30,176,381
159,2,9,16,30,5,381,629
159,2,16,23,5,35,629,932
159,2,23,27,35,10,932,1063
159,2,27,32,10,2,1063,1250
160,2,0,4,6,20,6,176
160,2,4,9,20,30,176,381
160,2,9,16,30,5,381,629
160,2,16,23,5,35,629,932
160,2,23,27,35,10,932,1063
160,2,27,32,10,2,1063,1250
169,7,4,9,6,4,162,355
169,7,9,13,4,1,355,508
169,8,13,14,1,1,508,547
169,8,14,15,1,1,547,586
169,5,15,18,1,21,586,723
170,7,4,9,6,4,162,355
170,8,9,10,4,4,355,394
170,8,10,11,4,4,394,433
170,8,11,12,4,4,433,472
170,8,12,13,4,4,472,511
170,0,13,17,4,1,511,664
170,0,17,22,1,24,664,882
171,7,4,9,6,4,162,355
171,8,9,10,4,4,355,394
171,8,10,11,4,4,394,433
171,8,11,12,4,4,433,472
171,8,12,13,4,4,472,511
171,0,13,17,4,1,511,664
171,0,17,22,1,24,664,882
206,6,21,26,8,24,827,1038
206,6,26,31,24,1,1038,1210
207,6,21,26,8,24,827,1038
207,6,26,31,24,1,1038,1210
208,6,21,26,8,24,827,1038
208,6,26,31,24,1,1038,1210
212,4,29,32,8,23,1139,1271
212,4,32,36,23,6,1271,1410
212,4,36,40,6,20,1410,1580
213,6,21,26,8,24,827,1038
592,2,4,9,20,30,176,381
610,5,12,15,21,1,489,586
611,5,18,22,21,5,723,863
612,5,18,22,21,5,723,863
613,5,12,15,21,1,489,586
613,8,15,16,1,1,586,625
613,8,16,17,1,1,625,664
613,1,17,22,1,24,664,882
613,1,22,26,24,23,882,1037
613,1,26,30,23,6,1037,1176
620,5,12,15,21,1,489,586
620,8,15,16,1,1,586,625
620,8,16,17,1,1,625,664
620,1,17,22,1,24,664,882
620,0,22,26,24,23,882,1037
621,5,12,15,21,1,489,586
621,8,15,16,1,1,586,625
621,8,16,17,1,1,625,664
621,1,17,22,1,24,664,882
627,4,7,11,21,4,294,433
627,4,11,16,4,24,433,648
627,4,16,22,24,28,648,886
628,4,7,11,21,4,294,433
628,4,11,16,4,24,433,648
628,4,16,22,24,28,648,886
630,4,7,11,21,4,294,433
630,4,11,16,4,24,433,648
630,4,16,22,24,28,648,886
631,4,7,11,21,4,294,433
631,4,11,16,4,24,433,648
631,4,16,22,24,28,648,886
636,6,26,31,24,1,1038,1210
637,6,26,31,24,1,1038,1210
638,1,22,26,24,23,882,1037
638,1,26,30,23,6,1037,1176
640,4,16,22,24,28,648,886
683,7,35,40,30,20,1395,1580
685,5,29,36,30,31,1161,1435
686,5,29,36,30,31,1161,1435
687,5,29,36,30,31,1161,1435
688,5,29,36,30,31,1161,1435
704,5,36,40,31,20,1435,1580
715,2,23,27,35,10,932,1063
715,8,27,28,10,10,1063,1102
715,8,28,29,10,10,1102,1141
715,8,29,30,10,10,1141,1180
715,8,30,31,10,10,1180,1219
715,8,31,32,10,10,1219,1258
715,8,32,33,10,10,1258,1297
715,8,33,34,10,10,1297,1336
715,8,34,35,10,10,1336,1375
715,8,35,36,10,10,1375,1414
715,8,36,37,10,10,1414,1453
715,2,37,40,10,36,1453,1596
715,2,40,45,36,1,1596,1756
733,7,18,22,36,35,738,893
733,7,22,29,35,30,893,1161
733,5,29,36,30,31,1161,1435
734,7,18,22,36,35,738,893
734,7,22,29,35,30,893,1161
734,5,29,36,30,31,1161,1435
735,7,18,22,36,35,738,893
735,7,22,29,35,30,893,1161
735,5,29,36,30,31,1161,1435
736,7,18,22,36,35,738,893
736,7,22,29,35,30,893,1161
736,5,29,36,30,31,1161,1435
737,7,18,22,36,35,738,893
737,7,22,29,35,30,893,1161
737,5,29,36,30,31,1161,1435
738,7,18,22,36,35,738,893
738,7,22,29,35,30,893,1161
738,5,29,36,30,31,1161,1435
739,7,18,22,36,35,738,893
739,7,22,29,35,30,893,1161
739,5,29,36,30,31,1161,1435
Matching Rate: 0.13829787234042554
