t,s
0.0,8
4.0,29
9.0,52
13.0,50
15.0,6
18.0,64
22.0,62
25.0,63
30.0,14
34.0,16
38.0,17
42.0,16
47.0,12
50.0,66
55.0,1
58.0,4
60.0,31
62.0,8
