r,d,t1,t2,s1,s2,n1,n2
88,2,19,23,52,50,1363,1637
88,2,23,27,50,52,1637,1915
88,2,27,31,52,50,1915,2189
88,2,31,33,50,6,2189,2283
88,8,33,34,6,6,2283,2352
88,8,34,35,6,6,2352,2421
88,2,35,38,6,64,2421,2686
88,2,38,42,64,62,2686,2960
89,2,14,19,29,52,995,1363
90,2,14,19,29,52,995,1363
91,2,14,19,29,52,995,1363
92,2,14,19,29,52,995,1363
93,2,14,19,29,52,995,1363
94,3,82,87,29,52,5687,6055
131,2,14,19,29,52,995,1363
131,2,19,23,52,50,1363,1637
131,8,23,24,50,50,1637,1706
131,8,24,25,50,50,1706,1775
131,8,25,26,50,50,1775,1844
131,8,26,27,50,50,1844,1913
131,8,27,28,50,50,1913,1982
131,8,28,29,50,50,1982,2051
131,8,29,30,50,50,2051,2120
131,8,30,31,50,50,2120,2189
131,2,31,33,50,6,2189,2283
131,8,33,34,6,6,2283,2352
131,3,34,35,6,6,2352,2421
131,2,35,38,6,64,2421,2686
132,2,14,19,29,52,995,1363
132,2,19,23,52,50,1363,1637
132,8,23,24,50,50,1637,1706
132,8,24,25,50,50,1706,1775
132,8,25,26,50,50,1775,1844
132,8,26,27,50,50,1844,1913
132,8,27,28,50,50,1913,1982
132,8,28,29,50,50,1982,2051
132,8,29,30,50,50,2051,2120
132,8,30,31,50,50,2120,2189
132,2,31,33,50,6,2189,2283
132,8,33,34,6,6,2283,2352
132,8,34,35,6,6,2352,2421
132,2,35,38,6,64,2421,2686
133,2,14,19,29,52,995,1363
133,2,19,23,52,50,1363,1637
133,8,23,24,50,50,1637,1706
133,8,24,25,50,50,1706,1775
133,8,25,26,50,50,1775,1844
133,8,26,27,50,50,1844,1913
133,8,27,28,50,50,1913,1982
133,8,28,29,50,50,1982,2051
133,8,29,30,50,50,2051,2120
133,8,30,31,50,50,2120,2189
133,2,31,33,50,6,2189,2283
133,8,33,34,6,6,2283,2352
133,8,34,35,6,6,2352,2421
133,2,35,38,6,64,2421,2686
134,2,14,19,29,52,995,1363
134,2,19,23,52,50,1363,1637
134,8,23,24,50,50,1637,1706
134,8,24,25,50,50,1706,1775
134,8,25,26,50,50,1775,1844
134,8,26,27,50,50,1844,1913
134,8,27,28,50,50,1913,1982
134,8,28,29,50,50,1982,2051
134,8,29,30,50,50,2051,2120
134,8,30,31,50,50,2120,2189
134,2,31,33,50,6,2189,2283
134,8,33,34,6,6,2283,2352
134,8,34,35,6,6,2352,2421
134,2,35,38,6,64,2421,2686
135,2,14,19,29,52,995,1363
135,2,19,23,52,50,1363,1637
135,8,23,24,50,50,1637,1706
135,8,24,25,50,50,1706,1775
135,8,25,26,50,50,1775,1844
135,8,26,27,50,50,1844,1913
135,8,27,28,50,50,1913,1982
135,8,28,29,50,50,1982,2051
135,8,29,30,50,50,2051,2120
135,8,30,31,50,50,2120,2189
135,2,31,33,50,6,2189,2283
135,8,33,34,6,6,2283,2352
135,8,34,35,6,6,2352,2421
135,2,35,38,6,64,2421,2686
167,1,17,21,8,49,1181,1498
167,1,21,25,49,29,1498,1754
168,1,17,21,8,49,1181,1498
168,1,21,25,49,29,1498,1754
169,1,17,21,8,49,1181,1498
169,1,21,25,49,29,1498,1754
177,0,10,15,29,31,719,1066
177,0,15,17,31,30,1066,1203
177,8,17,18,30,30,1203,1272
177,4,18,19,30,7,1272,1318
177,4,19,22,7,1,1318,1519
177,4,22,27,1,39,1519,1902
178,0,10,15,29,31,719,1066
178,0,15,17,31,30,1066,1203
178,8,17,18,30,30,1203,1272
178,4,18,19,30,7,1272,1318
178,4,19,22,7,1,1318,1519
178,4,22,27,1,39,1519,1902
179,0,10,15,29,31,719,1066
179,0,15,17,31,30,1066,1203
179,8,17,18,30,30,1203,1272
179,4,18,19,30,7,1272,1318
179,4,19,22,7,1,1318,1519
179,4,22,27,1,39,1519,1902
180,0,10,15,29,31,719,1066
180,0,15,17,31,30,1066,1203
180,8,17,18,30,30,1203,1272
180,4,18,19,30,7,1272,1318
180,4,19,22,7,1,1318,1519
180,4,22,27,1,39,1519,1902
181,0,10,15,29,31,719,1066
181,0,15,17,31,30,1066,1203
181,8,17,18,30,30,1203,1272
181,4,18,19,30,7,1272,1318
181,4,19,22,7,1,1318,1519
181,4,22,27,1,39,1519,1902
182,0,10,15,29,31,719,1066
182,0,15,17,31,30,1066,1203
182,8,17,18,30,30,1203,1272
182,4,18,19,30,7,1272,1318
182,4,19,22,7,1,1318,1519
182,4,22,27,1,39,1519,1902
183,0,10,15,29,31,719,1066
183,0,15,17,31,30,1066,1203
183,8,17,18,30,30,1203,1272
183,4,18,19,30,7,1272,1318
183,4,19,22,7,1,1318,1519
183,4,22,27,1,39,1519,1902
184,0,10,15,29,31,719,1066
184,0,15,17,31,30,1066,1203
184,8,17,18,30,30,1203,1272
184,4,18,19,30,7,1272,1318
184,4,19,22,7,1,1318,1519
184,4,22,27,1,39,1519,1902
185,0,10,15,29,31,719,1066
185,0,15,17,31,30,1066,1203
185,8,17,18,30,30,1203,1272
185,4,18,19,30,7,1272,1318
185,4,19,22,7,1,1318,1519
185,4,22,27,1,39,1519,1902
186,0,10,15,29,31,719,1066
186,0,15,17,31,30,1066,1203
186,8,17,18,30,30,1203,1272
186,4,18,19,30,7,1272,1318
186,4,19,22,7,1,1318,1519
186,4,22,27,1,39,1519,1902
187,2,27,31,52,50,1915,2189
187,2,31,33,50,6,2189,2283
187,8,33,34,6,6,2283,2352
187,8,34,35,6,6,2352,2421
187,2,35,38,6,64,2421,2686
188,3,95,99,52,50,6607,6881
188,3,99,101,50,6,6881,6975
188,8,101,102,6,6,6975,7044
188,8,102,103,6,6,7044,7113
188,3,103,106,6,64,7113,7378
189,2,27,31,52,50,1915,2189
189,2,31,33,50,6,2189,2283
189,8,33,34,6,6,2283,2352
189,8,34,35,6,6,2352,2421
189,2,35,38,6,64,2421,2686
190,3,95,99,52,50,6607,6881
190,3,99,101,50,6,6881,6975
190,8,101,102,6,6,6975,7044
190,8,102,103,6,6,7044,7113
190,3,103,106,6,64,7113,7378
191,2,27,31,52,50,1915,2189
191,2,31,33,50,6,2189,2283
191,8,33,34,6,6,2283,2352
191,8,34,35,6,6,2352,2421
191,2,35,38,6,64,2421,2686
192,2,92,96,62,64,6410,6688
193,2,92,96,62,64,6410,6688
194,2,92,96,62,64,6410,6688
195,2,92,96,62,64,6410,6688
196,2,92,96,62,64,6410,6688
200,3,0,7,17,18,17,501
200,3,7,16,18,13,501,1117
200,8,16,17,13,13,1117,1186
200,8,17,18,13,13,1186,1255
200,3,18,22,13,62,1255,1580
201,3,0,7,17,18,17,501
201,3,7,16,18,13,501,1117
201,8,16,17,13,13,1117,1186
201,8,17,18,13,13,1186,1255
201,3,18,22,13,62,1255,1580
202,3,0,7,17,18,17,501
202,3,7,16,18,13,501,1117
202,8,16,17,13,13,1117,1186
202,8,17,18,13,13,1186,1255
202,3,18,22,13,62,1255,1580
203,3,0,7,17,18,17,501
203,3,7,16,18,13,501,1117
203,8,16,17,13,13,1117,1186
203,8,17,18,13,13,1186,1255
203,3,18,22,13,62,1255,1580
204,3,0,7,17,18,17,501
204,3,7,16,18,13,501,1117
204,8,16,17,13,13,1117,1186
204,8,17,18,13,13,1186,1255
204,3,18,22,13,62,1255,1580
205,3,0,7,17,18,17,501
205,3,7,16,18,13,501,1117
205,8,16,17,13,13,1117,1186
205,8,17,18,13,13,1186,1255
205,3,18,22,13,62,1255,1580
206,3,0,7,17,18,17,501
206,3,7,16,18,13,501,1117
206,8,16,17,13,13,1117,1186
206,8,17,18,13,13,1186,1255
206,3,18,22,13,62,1255,1580
207,3,0,7,17,18,17,501
207,3,7,16,18,13,501,1117
207,8,16,17,13,13,1117,1186
207,8,17,18,13,13,1186,1255
207,3,18,22,13,62,1255,1580
208,2,73,82,18,13,5055,5671
208,8,82,83,13,13,5671,5740
208,8,83,84,13,13,5740,5809
208,2,84,88,13,62,5809,6134
209,2,73,82,18,13,5055,5671
209,8,82,83,13,13,5671,5740
209,8,83,84,13,13,5740,5809
209,2,84,88,13,62,5809,6134
210,2,73,82,18,13,5055,5671
210,8,82,83,13,13,5671,5740
210,8,83,84,13,13,5740,5809
210,2,84,88,13,62,5809,6134
211,2,73,82,18,13,5055,5671
211,8,82,83,13,13,5671,5740
211,8,83,84,13,13,5740,5809
211,2,84,88,13,62,5809,6134
212,2,73,82,18,13,5055,5671
212,8,82,83,13,13,5671,5740
212,8,83,84,13,13,5740,5809
212,2,84,88,13,62,5809,6134
213,2,73,82,18,13,5055,5671
