t1,t2,s1,s2,n1,n2
0,7.0,17,18.0,17,501.0
7.0,16.0,18.0,13.0,501.0,1117.0
16.0,17.0,13.0,13.0,1117.0,1186.0
17.0,18.0,13.0,13.0,1186.0,1255.0
18.0,22.0,13.0,62.0,1255.0,1580.0
22.0,23.0,62.0,62.0,1580.0,1649.0
23.0,24.0,62.0,62.0,1649.0,1718.0
24.0,25.0,62.0,62.0,1718.0,1787.0
25.0,26.0,62.0,62.0,1787.0,1856.0
26.0,30.0,62.0,64.0,1856.0,2134.0
30.0,33.0,64.0,6.0,2134.0,2283.0
33.0,34.0,6.0,6.0,2283.0,2352.0
34.0,35.0,6.0,6.0,2352.0,2421.0
35.0,36.0,6.0,6.0,2421.0,2490.0
36.0,38.0,6.0,50.0,2490.0,2672.0
38.0,42.0,50.0,52.0,2672.0,2950.0
42.0,46.0,52.0,50.0,2950.0,3224.0
46.0,50.0,50.0,52.0,3224.0,3502.0
50.0,55.0,52.0,29.0,3502.0,3824.0
55.0,60.0,29.0,0.0,3824.0,4140.0
60.0,63.0,0.0,40.0,4140.0,4387.0
63.0,64.0,40.0,40.0,4387.0,4456.0
64.0,68.0,40.0,43.0,4456.0,4735.0
68.0,72.0,43.0,40.0,4735.0,5008.0
72.0,73.0,40.0,40.0,5008.0,5077.0
73.0,74.0,40.0,40.0,5077.0,5146.0
74.0,77.0,40.0,0.0,5146.0,5313.0
77.0,82.0,0.0,29.0,5313.0,5687.0
82.0,87.0,29.0,52.0,5687.0,6055.0
87.0,91.0,52.0,50.0,6055.0,6329.0
91.0,95.0,50.0,52.0,6329.0,6607.0
95.0,99.0,52.0,50.0,6607.0,6881.0
99.0,101.0,50.0,6.0,6881.0,6975.0
101.0,102.0,6.0,6.0,6975.0,7044.0
102.0,103.0,6.0,6.0,7044.0,7113.0
103.0,106.0,6.0,64.0,7113.0,7378.0
106.0,110.0,64.0,62.0,7378.0,7652.0
110.0,111.0,62.0,62.0,7652.0,7721.0
111.0,112.0,62.0,62.0,7721.0,7790.0
112.0,113.0,62.0,62.0,7790.0,7859.0
113.0,114.0,62.0,62.0,7859.0,7928.0
114.0,118.0,62.0,13.0,7928.0,8155.0
118.0,127.0,13.0,18.0,8155.0,8781.0
127.0,134.0,18.0,17.0,8781.0,9263.0
