dat_id,per_id,age,gender,income,lic,mode,purpose,geoid_o,sampno,geoid_d,zid,dist,autoivtt,darivtt,walktt,costauto,sharedridecost,darefare,busfare,buswaitt,bustt,u_perid,emp,child16,hh_auto,av_auto,av_share,av_bus,av_dar,av_wk,weight
1,19,3,2,1,2,9,12,91,91,91,91,3.077659165,7.25,9.666666667,60.85,1.600690532,0.800345266,2.307765917,1,1,6.594983925,1,99999,1,2,0,1,0,1,1,-99999
1,20,4,1,2,1,9,3,29,29,29,29,0.71520002,1.983333333,2.644444444,9.15,0.37197553,0.185987765,2.071520002,1,1,1.532571471,1,0,1,1,1,1,0,1,1,-99999
1,20,4,1,2,1,9,9,29,29,29,29,2.376129345,6.216666667,8.288888889,47.63333333,1.235824872,0.617912436,2.237612935,1,1,5.091705739,1,0,1,1,1,1,0,1,1,-99999
1,20,4,1,2,1,9,12,29,29,29,29,2.051772776,5.3,7.066666667,40.68333333,1.067127021,0.533563511,2.205177278,1,1,4.396655949,1,0,1,1,1,1,0,1,1,-99999
1,22,4,2,1,2,4,9,111,111,111,111,1.686405607,4.683333333,6.244444444,33.06666667,0.877099556,0.438549778,2.168640561,1,1,3.613726301,1,6,2,2,1,1,0,1,0,-99999
1,22,4,2,1,2,4,12,111,111,111,111,1.581393615,4.616666667,6.155555556,31.33333333,0.822482819,0.41124141,2.158139362,1,1,3.388700604,1,6,2,2,1,1,0,1,0,-99999
1,23,4,2,2,1,4,9,27,27,27,27,1.426671803,4.733333333,6.311111111,28.36666667,0.742012005,0.371006002,2.14266718,1,1,3.057153864,1,5,1,2,1,1,0,1,1,-99999
1,23,4,2,2,1,4,12,27,27,27,27,2.719748468,6.533333333,8.711111111,45.83333333,1.414541178,0.707270589,2.271974847,1,1,5.828032431,1,5,1,2,1,1,0,1,1,-99999
1,24,4,2,2,1,4,9,101,101,101,101,3.953173351,8.65,11.53333333,77.1,2.05604546,1.02802273,2.395317335,1,1,8.471085752,1,0,2,3,1,1,0,1,1,-99999
1,24,4,2,2,1,4,12,101,101,101,101,2.147464178,5.9,7.866666667,38.91666667,1.116896119,0.558448059,2.214746418,1,1,4.601708953,1,0,2,3,1,1,0,1,1,-99999
1,29,4,2,1,1,4,3,40,40,40,40,2.837809288,7.95,10.6,56.21666667,1.475944611,0.737972305,2.283780929,1,1,6.081019903,1,0,2,2,1,1,0,1,1,-99999
1,29,4,2,1,1,4,9,40,40,40,40,1.324766675,3.616666667,4.822222222,25.8,0.689011147,0.344505574,2.132476668,1,1,2.838785732,1,0,2,2,1,1,0,1,1,-99999
1,31,4,2,3,1,4,3,86,86,86,86,6.638746318,7.033333333,9.377777778,114.35,3.45281196,1.72640598,2.663874632,1,1,14.22588497,1,0,2,4,1,1,0,1,1,-99999
1,31,4,2,3,1,4,9,86,86,86,86,9.34793145,14.13333333,18.84444444,146.2,4.861859147,2.430929574,2.934793145,1,1,20.03128168,1,0,2,4,1,1,0,1,1,-99999
1,31,4,2,3,1,4,12,86,86,86,86,7.104775871,8.316666667,11.08888889,105.1,3.69519393,1.847596965,2.710477587,1,1,15.22451972,1,0,2,4,1,1,0,1,1,-99999
1,33,4,2,2,1,4,3,238,238,238,238,5.837796861,12.16666667,16.22222222,114,3.036238147,1.518119074,2.583779686,1,1,12.5095647,1,0,1,3,1,1,0,1,1,-99999
1,33,4,2,2,1,4,9,238,238,238,238,2.27733108,4.166666667,5.555555556,44.81666667,1.184439895,0.592219947,2.227733108,1,1,4.879995171,1,0,1,3,1,1,0,1,1,-99999
