t,s
0.0,29
1.0,29
2.0,29
3.0,29
4.0,29
5.0,29
6.0,29
11.0,31
13.0,30
16.0,8
19.0,30
22.0,38
26.0,39
31.0,1
36.0,39
37.0,39
38.0,39
39.0,39
40.0,39
45.0,30
48.0,8
52.0,49
56.0,29
