t1,t2,s1,s2,n1,n2
0,4.0,8,29.0,8,305.0
4,9.0,29,52.0,305,673.0
9,13.0,52,50.0,673,947.0
13,15.0,50,6.0,947,1041.0
15,18.0,6,64.0,1041,1306.0
18,22.0,64,62.0,1306,1580.0
22,25.0,62,63.0,1580,1788.0
25,30.0,63,14.0,1788,2084.0
30,34.0,14,16.0,2084,2362.0
34,38.0,16,17.0,2362,2639.0
38,42.0,17,16.0,2639,2914.0
42,47.0,16,12.0,2914,3255.0
47,50.0,12,66.0,3255,3516.0
50,55.0,66,1.0,3516,3796.0
55,58.0,1,4.0,3796,4006.0
58,60.0,4,31.0,4006,4171.0
60,62.0,31,8.0,4171,4286.0
62,66.0,8,29.0,4286,4583.0
66,71.0,29,52.0,4583,4951.0
71,75.0,52,50.0,4951,5225.0
75,77.0,50,6.0,5225,5319.0
77,80.0,6,64.0,5319,5584.0
80,84.0,64,62.0,5584,5858.0
84,87.0,62,63.0,5858,6066.0
87,92.0,63,14.0,6066,6362.0
92,96.0,14,16.0,6362,6640.0
96,100.0,16,17.0,6640,6917.0
100,104.0,17,16.0,6917,7192.0
104,109.0,16,12.0,7192,7533.0
109,112.0,12,66.0,7533,7794.0
112,117.0,66,1.0,7794,8074.0
117,120.0,1,4.0,8074,8284.0
120,122.0,4,31.0,8284,8449.0
122,124.0,31,8.0,8449,8564.0
