,origin,destination,travel time(min),travel distance(km)
391,108,109,2.55,0.25
392,108,110,2.27,0.26
393,108,113,0.55,0.07
394,109,110,1.48,0.15
395,109,111,1.03,0.16
396,109,112,1.88,0.3
397,109,113,2.13,0.24
398,110,111,1.37,0.18
399,110,112,1.17,0.16
400,111,112,1.13,0.17
401,114,115,2.05,0.51
402,115,116,0.9,0.37
403,115,117,1.1,0.45
404,115,118,2.45,0.9
405,116,117,0.17,0.07
406,117,118,3.25,0.74
407,119,123,3.42,1.52
408,119,126,3.37,1.35
409,119,131,4.53,2.41
410,119,132,3.52,2.36
411,119,135,5.63,2.89
412,120,140,4.33,1.61
413,120,142,4.3,1.75
414,120,143,3.93,1.19
415,120,148,2.3,0.73
416,120,159,6.5,2.18
417,120,161,3.32,0.93
418,121,139,6.43,3.76
419,121,145,7.48,5.14
420,121,146,7.15,5.24
421,121,147,4.5,3.19
422,121,154,11.22,8.16
423,121,157,7.02,3.97
424,122,149,21.38,18.09
425,122,164,22.75,20.39
426,123,124,5.35,2.44
427,123,125,5.18,2.08
428,123,126,4.83,2.0
429,123,127,4.88,2.47
430,123,135,9.03,4.41
431,123,160,5.83,2.13
432,123,162,3.1,1.31
433,124,125,4.73,2.21
434,124,127,3.15,1.7
435,124,129,8.67,4.3
436,124,159,2.55,1.62
437,124,160,4.45,1.7
438,125,127,3.98,1.68
439,125,160,5.6,1.91
440,126,127,4.0,1.66
441,126,128,5.03,2.09
442,126,131,4.95,2.08
443,126,132,5.88,3.04
444,127,128,4.23,2.23
445,127,129,7.8,3.46
446,128,129,7.37,3.37
447,128,130,5.87,2.96
448,128,131,3.4,1.32
449,129,130,5.92,2.71
450,129,138,14.47,7.78
451,130,131,6.55,2.86
452,130,133,3.2,1.5
453,130,138,11.35,6.34
454,130,146,4.88,3.34
455,131,132,4.73,2.16
456,131,133,4.8,2.29
457,132,133,4.07,2.11
458,132,135,7.02,3.75
459,132,136,5.77,3.43
460,132,145,3.42,2.69
461,133,139,7.92,3.45
462,133,145,6.18,3.7
463,133,146,6.9,3.96
464,134,135,6.05,2.43
465,134,136,5.48,3.25
466,134,137,10.77,6.44
467,135,136,6.27,2.92
468,135,137,13.05,7.35
469,135,162,8.5,3.97
470,136,137,13.03,8.79
471,136,144,12.7,9.15
472,136,145,7.52,5.03
473,136,154,6.6,4.12
474,137,144,7.55,4.47
475,137,162,8.83,5.71
476,138,146,8.02,3.37
477,138,147,8.52,3.25
478,139,145,5.92,2.37
479,139,146,4.23,2.14
480,139,147,8.53,5.02
481,140,141,3.0,0.8
482,140,142,3.65,1.37
483,140,148,5.48,2.21
484,140,161,4.67,1.6
485,141,142,2.57,0.89
486,142,161,4.18,1.75
487,142,162,7.88,3.63
488,143,148,4.05,1.37
489,143,150,4.62,1.21
490,143,159,3.95,1.62
491,144,151,11.0,6.58
492,144,154,9.05,6.44
493,145,154,4.45,3.13
494,145,157,9.52,6.24
495,146,147,5.47,3.51
496,148,150,4.22,1.1
497,149,163,6.35,3.27
498,149,164,7.68,3.13
499,150,159,6.77,2.64
500,151,152,1.9,0.66
501,151,153,4.98,1.55
502,151,154,7.7,4.28
503,151,155,5.47,1.8
504,152,153,3.98,1.05
505,152,155,5.45,1.95
506,152,158,2.48,0.72
507,153,158,3.22,0.95
508,154,155,6.35,3.61
509,154,156,6.48,5.15
510,154,157,8.17,5.3
511,155,156,7.47,3.4
512,155,157,11.6,6.87
513,155,158,4.73,1.84
514,156,157,5.77,3.62
515,159,160,3.27,0.93
516,159,161,4.03,1.24
517,160,161,6.52,1.86
518,160,162,6.73,2.61
519,161,162,4.83,1.86
520,163,164,7.6,4.07
