t,s
0,38
5,41
10,65
15,41
20,40
21,40
24,0
27,40
30,0
37,53
38,53
39,53
40,53
44,29
48,49
52,8
55,30
58,8
61,30
62,30
63,7
66,1
71,39
72,39
73,39
74,39
78,38
