t,s
0,10
7,45
8,45
9,45
10,45
11,45
18,10
19,10
22,38
26,39
30,7
32,4
33,4
34,4
36,31
38,8
42,49
46,8
48,31
50,4
51,4
52,4
54,7
58,39
62,38
65,10
72,45
73,45
74,45
75,45
76,45
83,10
