t1,t2,s1,s2,n1,n2
0.0,2.0,31,30,31.0,168.0
2.0,3.0,30,7,168.0,214.0
3.0,7.0,7,39,214.0,522.0
7.0,13.0,39,45,522.0,942.0
13.0,19.0,45,39,942.0,1350.0
19.0,23.0,39,7,1350.0,1594.0
23.0,25.0,7,4,1594.0,1729.0
25.0,27.0,4,34,1729.0,1897.0
27.0,29.0,34,35,1897.0,2036.0
29.0,32.0,35,33,2036.0,2241.0
32.0,37.0,33,29,2241.0,2582.0
37.0,41.0,29,32,2582.0,2861.0
41.0,43.0,32,31,2861.0,2998.0
43.0,45.0,31,30,2998.0,3135.0
45.0,46.0,30,7,3135.0,3181.0
46.0,50.0,7,39,3181.0,3489.0
50.0,56.0,39,45,3489.0,3909.0
56.0,62.0,45,39,3909.0,4317.0
62.0,66.0,39,7,4317.0,4561.0
66.0,68.0,7,4,4561.0,4696.0
68.0,70.0,4,34,4696.0,4864.0
70.0,72.0,34,35,4864.0,5003.0
72.0,75.0,35,33,5003.0,5208.0
75.0,80.0,33,29,5208.0,5549.0
80.0,84.0,29,32,5549.0,5828.0
84.0,86.0,32,31,5828.0,5965.0
86.0,88.0,31,30,5965.0,6102.0
88.0,89.0,30,7,6102.0,6148.0
89.0,93.0,7,39,6148.0,6456.0
93.0,99.0,39,45,6456.0,6876.0
99.0,105.0,45,39,6876.0,7284.0
105.0,109.0,39,7,7284.0,7528.0
109.0,111.0,7,4,7528.0,7663.0
111.0,113.0,4,34,7663.0,7831.0
113.0,115.0,34,35,7831.0,7970.0
115.0,118.0,35,33,7970.0,8175.0
118.0,123.0,33,29,8175.0,8516.0
123.0,127.0,29,32,8516.0,8795.0
127.0,129.0,32,31,8795.0,8932.0
129.0,131.0,31,30,8932.0,9069.0
131.0,132.0,30,7,9069.0,9115.0
132.0,136.0,7,39,9115.0,9423.0
136.0,142.0,39,45,9423.0,9843.0
142.0,148.0,45,39,9843.0,10251.0
148.0,152.0,39,7,10251.0,10495.0
152.0,154.0,7,4,10495.0,10630.0
154.0,156.0,4,34,10630.0,10798.0
156.0,158.0,34,35,10798.0,10937.0
158.0,161.0,35,33,10937.0,11142.0
161.0,166.0,33,29,11142.0,11483.0
166.0,170.0,29,32,11483.0,11762.0
170.0,172.0,32,31,11762.0,11899.0
