r
5
6
15
21
30
31
33
42
43
44
45
46
47
48
49
50
51
104
105
106
107
108
109
110
111
112
113
114
115
116
117
118
119
120
121
122
128
129
151
152
153
154
155
156
157
158
159
160
161
171
172
593
621
622
628
630
631
632
639
641
703
715
