t1,t2,s1,s2,n1,n2
0,6.0,20,21.0,20,255.0
6,7.0,21,21.0,255,294.0
7,11.0,21,4.0,294,433.0
11,16.0,4,24.0,433,648.0
16,22.0,24,28.0,648,886.0
22,28.0,28,24.0,886,1116.0
28,33.0,24,4.0,1116,1291.0
33,40.0,4,20.0,1291,1580.0
40,46.0,20,21.0,1580,1815.0
46,47.0,21,21.0,1815,1854.0
47,51.0,21,4.0,1854,1993.0
51,56.0,4,24.0,1993,2208.0
56,62.0,24,28.0,2208,2446.0
62,68.0,28,24.0,2446,2676.0
68,73.0,24,4.0,2676,2851.0
73,80.0,4,20.0,2851,3140.0
80,86.0,20,21.0,3140,3375.0
86,87.0,21,21.0,3375,3414.0
87,91.0,21,4.0,3414,3553.0
91,96.0,4,24.0,3553,3768.0
96,102.0,24,28.0,3768,4006.0
102,108.0,28,24.0,4006,4236.0
108,113.0,24,4.0,4236,4411.0
113,120.0,4,20.0,4411,4700.0
120,126.0,20,21.0,4700,4935.0
126,127.0,21,21.0,4935,4974.0
127,131.0,21,4.0,4974,5113.0
131,136.0,4,24.0,5113,5328.0
136,142.0,24,28.0,5328,5566.0
142,148.0,28,24.0,5566,5796.0
148,153.0,24,4.0,5796,5971.0
153,160.0,4,20.0,5971,6260.0
