t1,t2,s1,s2,n1,n2
0,4,19,24,19,180
4,9,24,32,180,383
9,13,32,31,383,538
13,15,31,17,538,602
15,18,17,36,602,738
18,22,36,34,738,892
22,25,34,35,892,1010
25,30,35,21,1010,1191
30,34,21,22,1191,1348
34,38,22,23,1348,1505
38,42,23,22,1505,1660
42,47,22,20,1660,1853
47,50,20,38,1853,1988
50,55,38,15,1988,2160
55,58,15,16,2160,2278
58,60,16,26,2278,2366
60,62,26,19,2366,2437
62,66,19,24,2437,2598
66,71,24,32,2598,2801
71,75,32,31,2801,2956
75,77,31,17,2956,3020
77,80,17,36,3020,3156
80,84,36,34,3156,3310
84,87,34,35,3310,3428
87,92,35,21,3428,3609
92,96,21,22,3609,3766
96,100,22,23,3766,3923
100,104,23,22,3923,4078
104,109,22,20,4078,4271
109,112,20,38,4271,4406
112,117,38,15,4406,4578
117,120,15,16,4578,4696
120,122,16,26,4696,4784
122,124,26,19,4784,4855
