r,d,t1,t2,s1,s2,n1,n2
716,4,24,27,23,8,935,1034
716,4,27,32,8,15,1034,1231
716,5,32,33,15,16,1231,1270
716,5,33,34,16,17,1270,1309
716,5,34,35,17,18,1309,1348
716,2,35,39,18,23,1348,1505
717,4,24,27,23,8,935,1034
717,4,27,32,8,15,1034,1231
717,5,32,33,15,16,1231,1270
717,5,33,34,16,17,1270,1309
717,5,34,35,17,18,1309,1348
717,2,35,39,18,23,1348,1505
718,4,24,27,23,8,935,1034
718,4,27,32,8,15,1034,1231
718,5,32,33,15,16,1231,1270
718,5,33,34,16,17,1270,1309
718,5,34,35,17,18,1309,1348
718,2,35,39,18,23,1348,1505
719,4,24,27,23,8,935,1034
719,4,27,32,8,15,1034,1231
719,5,32,33,15,16,1231,1270
719,5,33,34,16,17,1270,1309
719,5,34,35,17,18,1309,1348
719,2,35,39,18,23,1348,1505
729,4,24,27,23,8,935,1034
729,4,27,32,8,15,1034,1231
729,4,32,36,15,18,1231,1386
729,4,36,41,18,37,1386,1595
729,4,41,45,37,1,1595,1711
729,4,45,51,1,5,1711,1943
729,4,51,58,5,13,1943,2217
730,4,24,27,23,8,935,1034
730,4,27,32,8,15,1034,1231
730,4,32,36,15,18,1231,1386
730,4,36,41,18,37,1386,1595
730,4,41,45,37,1,1595,1711
730,4,45,51,1,5,1711,1943
730,4,51,58,5,13,1943,2217
731,4,24,27,23,8,935,1034
731,4,27,32,8,15,1034,1231
731,4,32,36,15,18,1231,1386
731,4,36,41,18,37,1386,1595
731,4,41,45,37,1,1595,1711
731,4,45,51,1,5,1711,1943
731,4,51,58,5,13,1943,2217
Matching Rate: 0.06451612903225806
