t1,t2,s1,s2,n1,n2
0,5,24,26,24,221
5,7,26,25,221,298
7,8,25,18,298,330
8,12,18,28,330,496
12,17,28,15,496,678
17,18,15,15,678,717
18,23,15,38,717,935
23,26,38,20,935,1034
26,31,20,22,1034,1231
31,35,22,21,1231,1386
35,40,21,35,1386,1595
40,43,35,34,1595,1711
43,49,34,32,1711,1943
49,56,32,33,1943,2217
56,60,33,24,2217,2364
60,65,24,26,2364,2561
65,67,26,25,2561,2638
67,68,25,18,2638,2670
68,72,18,28,2670,2836
72,77,28,15,2836,3018
77,78,15,15,3018,3057
78,83,15,38,3057,3275
83,86,38,20,3275,3374
86,91,20,22,3374,3571
91,95,22,21,3571,3726
95,100,21,35,3726,3935
100,103,35,34,3935,4051
103,109,34,32,4051,4283
109,116,32,33,4283,4557
116,120,33,24,4557,4704
120,125,24,26,4704,4901
125,127,26,25,4901,4978
127,128,25,18,4978,5010
128,132,18,28,5010,5176
132,137,28,15,5176,5358
137,138,15,15,5358,5397
138,143,15,38,5397,5615
143,146,38,20,5615,5714
146,151,20,22,5714,5911
151,155,22,21,5911,6066
155,160,21,35,6066,6275
160,163,35,34,6275,6391
163,169,34,32,6391,6623
169,176,32,33,6623,6897
176,180,33,24,6897,7044
